,dists,predIds,skips,coretime,p_cals,predYears
1981,"[29.99515061579219, 30.670256554823048, 32.03437577684236, 33.19151760299418, 33.48571535561504]
","[19, 11, 6, 0, 17]
","0
","0.8715908527374268
","0
","[1970, 1962, 1957, 1951, 1968]
"
1982,"[25.42421083212588, 26.249234851779175, 29.10147046217744, 29.11403505026412, 29.543673079932333]
","[25, 15, 17, 18, 3]
","0
","0.8143949508666992
","0
","[1977, 1967, 1969, 1970, 1955]
"
1983,"[26.332811944546144, 27.76689222246935, 29.322687516157195, 29.416022205948433, 31.121416555406874]
","[22, 11, 27, 25, 13]
","0
","0.8308157920837402
","0
","[1975, 1964, 1980, 1978, 1966]
"
1984,"[32.30781160748694, 33.13055037457346, 33.21520909680827, 33.44245921741592, 33.45937713391283]
","[9, 13, 18, 23, 8]
","0
","0.83107590675354
","0
","[1963, 1967, 1972, 1977, 1962]
"
1985,"[25.259863714308896, 26.36764552580209, 27.789351381334715, 28.022327171310998, 28.148034662480484]
","[22, 12, 14, 19, 0]
","0
","0.7877891063690186
","0
","[1977, 1967, 1969, 1974, 1955]
"
1986,"[26.93901978362892, 27.041834507130133, 27.105785661705795, 28.97578856259694, 29.316931860703413]
","[12, 11, 29, 19, 7]
","0
","0.8234741687774658
","0
","[1968, 1967, 1985, 1975, 1963]
"
1987,"[24.960599647966024, 26.046155322526314, 27.269650547027673, 27.408675647502907, 28.326497883042503]
","[10, 12, 18, 20, 1]
","0
","0.8298130035400391
","0
","[1967, 1969, 1975, 1977, 1958]
"
1988,"[25.820345870153453, 28.760896182845368, 28.768269374914762, 29.670684906622984, 29.92766146087658]
","[29, 17, 25, 4, 12]
","0
","0.8470289707183838
","0
","[1987, 1975, 1983, 1962, 1970]
"
1989,"[32.85727642409593, 33.20687224977367, 34.918596962742576, 34.929484952323236, 35.51238638643502]
","[12, 9, 24, 4, 3]
","0
","0.8480980396270752
","0
","[1971, 1968, 1983, 1963, 1962]
"
1990,"[31.299851703116833, 32.06606768423858, 32.59968840990392, 32.920967432315976, 33.40573689048504]
","[9, 25, 28, 13, 7]
","0
","0.8361232280731201
","0
","[1969, 1985, 1988, 1973, 1967]
"
1991,"[27.817766306215088, 28.027071322122058, 28.33188112256145, 28.84890380196558, 29.383774340898334]
","[25, 8, 9, 20, 27]
","0
","0.7967150211334229
","0
","[1986, 1969, 1970, 1981, 1988]
"
1992,"[24.089647014823402, 27.632263503510895, 27.954966630145908, 28.24678405387448, 29.062761548690204]
","[29, 26, 25, 0, 13]
","0
","0.7730839252471924
","0
","[1991, 1988, 1987, 1962, 1975]
"
1993,"[22.354429687602607, 27.674779009331875, 28.03569885025945, 28.198419785402102, 28.40839894883436]
","[12, 24, 28, 17, 10]
","0
","0.8008730411529541
","0
","[1975, 1987, 1991, 1980, 1973]
"
1994,"[26.31753606892177, 29.19840247609546, 29.742467943735104, 30.033635530839064, 30.42291664740892]
","[5, 29, 11, 6, 27]
","0
","0.8178107738494873
","0
","[1969, 1993, 1975, 1970, 1991]
"
1995,"[25.9563981484536, 29.354241315828602, 29.81905552436346, 29.976224603735528, 30.059574332432916]
","[28, 27, 22, 23, 10]
","0
","0.8015050888061523
","0
","[1993, 1992, 1987, 1988, 1975]
"
1996,"[27.109679797563096, 27.687869698493262, 27.9059744183068, 28.48853999033966, 28.59342354526951]
","[9, 12, 25, 27, 22]
","0
","0.7979776859283447
","0
","[1975, 1978, 1991, 1993, 1988]
"
1997,"[27.881934498813067, 27.88270737803038, 30.025488582480264, 30.117307324266548, 30.21984410309774]
","[25, 0, 2, 10, 21]
","0
","0.8381912708282471
","0
","[1992, 1967, 1969, 1977, 1988]
"
1998,"[22.554971300016494, 25.710496566243116, 26.006391515604427, 27.986913661687964, 28.068833028400647]
","[1, 26, 7, 22, 9]
","0
","0.8217310905456543
","0
","[1969, 1994, 1975, 1990, 1977]
"
1999,"[23.45805594362694, 27.76825067151978, 28.028442669250495, 30.03627713135776, 30.225172217611462]
","[1, 6, 24, 19, 0]
","0
","0.8482558727264404
","0
","[1970, 1975, 1993, 1988, 1969]
"
2000,"[28.21832865744475, 29.574023827999167, 30.99363127803842, 32.051107784777535, 32.42868634918155]
","[22, 11, 25, 27, 21]
","0
","0.8085958957672119
","0
","[1992, 1981, 1995, 1997, 1991]
"
2001,"[24.667036999389648, 26.474858748671053, 28.596118815347822, 28.652734455843564, 28.75410259006406]
","[28, 11, 1, 16, 4]
","0
","0.8454689979553223
","0
","[1999, 1982, 1972, 1987, 1975]
"
2002,"[25.936076312090822, 28.679012240223123, 28.72005545726817, 29.392876198593285, 29.505480431891236]
","[16, 15, 26, 20, 3]
","0
","0.8696529865264893
","0
","[1988, 1987, 1998, 1992, 1975]
"
2003,"[28.922920416008374, 28.98142077911177, 29.51748782362172, 29.619738951151103, 30.46021421782137]
","[21, 15, 18, 26, 22]
","0
","0.8534238338470459
","0
","[1994, 1988, 1991, 1999, 1995]
"
2004,"[26.26513507957846, 28.337205406120614, 28.845661441961745, 29.35459927413811, 29.692730383970176]
","[29, 12, 27, 13, 19]
","0
","0.852902889251709
","0
","[2003, 1986, 2001, 1987, 1993]
"
2005,"[24.859305279708014, 25.203103814502555, 26.227194457657017, 28.608075905325986, 28.987998800856992]
","[23, 27, 13, 0, 18]
","0
","0.8526101112365723
","0
","[1998, 2002, 1988, 1975, 1993]
"
2006,"[26.970080690482398, 27.82011897682366, 28.48537897036158, 28.520718367453913, 28.7522991704379]
","[23, 25, 7, 3, 4]
","0
","0.8127110004425049
","0
","[1999, 2001, 1983, 1979, 1980]
"
2007,"[28.80103455826637, 29.484898733075134, 30.1444372330337, 30.254126174232155, 31.18301152623781]
","[27, 26, 18, 16, 28]
","0
","0.8263680934906006
","0
","[2004, 2003, 1995, 1993, 2005]
"
2008,"[27.68969101810709, 28.197345619236764, 33.017339046159904, 33.59761999460294, 33.59971482411988]
","[22, 11, 10, 27, 24]
","0
","0.8354611396789551
","0
","[2000, 1989, 1988, 2005, 2002]
"
2009,"[27.535517589634733, 27.86180910238226, 28.09494412623277, 28.42098991633421, 28.77378636481775]
","[2, 12, 22, 8, 9]
","0
","0.8285348415374756
","0
","[1981, 1991, 2001, 1987, 1988]
"
2010,"[24.646147106675038, 27.764429448691775, 29.54595465121171, 29.91094545764326, 29.954039513340597]
","[21, 6, 7, 24, 29]
","0
","0.8279519081115723
","0
","[2001, 1986, 1987, 2004, 2009]
"
2011,"[26.035404541480755, 27.357583022747686, 28.04356516234506, 29.051409742331625, 29.31303804686159]
","[1, 17, 16, 4, 22]
","0
","0.809211015701294
","0
","[1982, 1998, 1997, 1985, 2003]
"
2012,"[26.410313744372374, 26.963758886026664, 27.124464658742003, 27.161458273977907, 27.493234949129505]
","[6, 10, 9, 13, 20]
","0
","0.7947120666503906
","0
","[1988, 1992, 1991, 1995, 2002]
"
2013,"[27.371856621399374, 27.44053408917849, 28.36698812701858, 28.848547455203473, 29.45688230831402]
","[10, 4, 18, 23, 16]
","0
","0.8110747337341309
","0
","[1993, 1987, 2001, 2006, 1999]
"
2014,"[26.744918578462173, 27.83291700061572, 28.283701502206505, 30.530948553858188, 30.897963190768984]
","[14, 6, 10, 27, 19]
","0
","0.8481316566467285
","0
","[1998, 1990, 1994, 2011, 2003]
"
2015,"[27.58968662958228, 28.983175172270737, 29.261718882989605, 29.436919939403708, 30.329427612207706]
","[0, 26, 18, 16, 27]
","0
","0.8656072616577148
","0
","[1985, 2011, 2003, 2001, 2012]
"
2016,"[28.449828790474644, 29.15318428683787, 29.393301271576004, 29.463372634733094, 29.93711533662081]
","[8, 19, 7, 10, 12]
","0
","0.8256912231445312
","0
","[1994, 2005, 1993, 1996, 1998]
"
2017,"[25.200217683871298, 27.850092590248508, 28.150731398818277, 29.154597738321165, 29.92188549958353]
","[17, 12, 16, 14, 23]
","0
","0.8474769592285156
","0
","[2004, 1999, 2003, 2001, 2010]
"
