(26.77551466974983, 62, 11, 1.2223589420318604)
(29.43703446006996, 195, 28, 1.2314319610595703)
(21.050199054950447, 190, 51, 0.8486058712005615)
(23.257109254730114, 102, 34, 1.3141162395477295)
(8.667952809798985, 128, 168, 0.22371816635131836)
(21.82021967262078, 163, 31, 1.1774201393127441)
(25.10764980856939, 47, 41, 1.130178689956665)
(17.130433237785443, 159, 107, 0.5466899871826172)
(22.735414685609236, 3, 36, 1.225909948348999)
(11.582364275137063, 28, 119, 0.44571518898010254)
(7.492952516513118, 207, 166, 0.25225305557250977)
(12.957581791595773, 173, 132, 0.3337259292602539)
(17.885640860901578, 203, 56, 0.9151990413665771)
(6.355467133619519, 38, 172, 0.23534321784973145)
(14.490163346610403, 95, 81, 0.7284190654754639)
(22.112371206644294, 13, 36, 1.103318214416504)
(21.330130855655046, 59, 49, 0.9849059581756592)
(23.03233375913285, 125, 33, 1.2866911888122559)
(22.15217923859376, 149, 54, 0.7234921455383301)
(18.240609741599147, 192, 48, 0.8741979598999023)
(6.043484329414691, 124, 176, 0.13997793197631836)
(18.830677681741054, 175, 47, 1.1935131549835205)
(30.02192688779493, 149, 6, 1.792490005493164)
(6.55141303352258, 113, 166, 0.28603315353393555)
(11.791201036536604, 28, 127, 0.41518211364746094)
(6.810427672219812, 199, 171, 0.3057279586791992)
(21.197802448984696, 117, 33, 1.267672061920166)
(16.62886867767663, 57, 68, 0.7934410572052002)
(19.669497318096234, 196, 57, 1.0434026718139648)
(21.703648619945756, 154, 39, 1.2801198959350586)
(32.522371311027754, 6, 9, 1.9912440776824951)
(5.275963004679101, 0, 174, 0.5101451873779297)
(21.877656253079817, 46, 20, 1.1990909576416016)
(27.078046498930096, 79, 34, 1.5884029865264893)
(6.096505691935857, 105, 165, 0.2950148582458496)
(17.57321990223303, 191, 96, 0.47911787033081055)
(22.283334688360227, 97, 35, 1.9504330158233643)
(20.583383295788668, 87, 38, 1.4288241863250732)
(21.427595754452213, 200, 62, 1.6097800731658936)
(19.7300488355105, 201, 81, 0.5961060523986816)
(26.488512714203374, 181, 14, 1.5203418731689453)
(8.297355055128723, 105, 162, 0.3143489360809326)
(23.849673659895547, 134, 34, 1.955888032913208)
(5.55172174147672, 0, 174, 0.3235800266265869)
(19.06463025308161, 192, 41, 1.3475978374481201)
(19.5239771421812, 24, 45, 1.4439289569854736)
(11.028798958779172, 28, 129, 0.9882690906524658)
(17.59433781151596, 107, 50, 2.2956230640411377)
(6.342401492365886, 22, 172, 0.6922118663787842)
(17.973144579563055, 15, 59, 2.1669797897338867)
(16.933946101624397, 90, 48, 2.07739520072937)
(7.1382247289049685, 0, 172, 0.4366447925567627)
(5.989991247564476, 199, 172, 0.41060495376586914)
(19.029737855583093, 36, 47, 1.255613088607788)
(4.894002443477409, 124, 176, 0.19722509384155273)
(13.458603494861334, 52, 67, 0.8302500247955322)
(17.37214148867442, 111, 62, 1.0487298965454102)
(20.516709698247034, 187, 45, 1.1868951320648193)
(15.801288498106672, 77, 64, 0.8853139877319336)
(21.05456056897072, 81, 35, 1.148960828781128)
(9.027051984279723, 148, 167, 0.22539114952087402)
(15.939254525415162, 203, 65, 0.7328000068664551)
(22.974421944001527, 198, 43, 1.1544599533081055)
(6.231467559415011, 38, 174, 0.21978211402893066)
(17.920376608563213, 94, 46, 1.0234689712524414)
(18.06864967277078, 14, 50, 0.8721969127655029)
(8.503272877397983, 126, 165, 0.21576976776123047)
(20.091871091889743, 175, 36, 0.8398890495300293)
(17.8763833117041, 59, 63, 0.8234686851501465)
(20.237458532477127, 2, 39, 1.1187529563903809)
(19.659213859415008, 1, 43, 0.9003229141235352)
(22.025933287898628, 141, 35, 1.2295169830322266)
(26.195040709452222, 69, 28, 1.2520678043365479)
(16.225164166183543, 13, 44, 0.9080991744995117)
(18.728968173105965, 117, 46, 1.1013481616973877)
(20.35574569624568, 20, 38, 1.1682467460632324)
(8.999636867532331, 76, 143, 0.21879291534423828)
(27.195343878527453, 188, 29, 1.4799861907958984)
(22.50998392686916, 164, 37, 1.1144130229949951)
(12.104017880431421, 15, 105, 0.5220730304718018)
(17.33323908105418, 28, 76, 0.7162489891052246)
(5.821725033757972, 156, 172, 0.20981693267822266)
(7.145869854803639, 128, 172, 0.29172492027282715)
(18.66162685325211, 162, 68, 0.8929519653320312)
(24.26164084322284, 197, 32, 1.2442591190338135)
(7.096252688902265, 123, 173, 0.23885679244995117)
(3.7741578409572223, 113, 177, 0.16050386428833008)
(7.6604720217414535, 124, 140, 0.40413594245910645)
(5.5518840704924495, 10, 173, 0.20334792137145996)
(13.887362918896077, 196, 90, 0.575206995010376)
