,dists,predIds,skips,coretime,p_cals,predYears
1981,"[89.13414548707755, 90.21170515937582, 91.11408484994031, 94.54147071462272, 94.69623325001525]
","[19, 17, 0, 4, 11]
","0
","2.687117099761963
","0
","[1970, 1968, 1951, 1955, 1962]
"
1982,"[86.41672914795234, 87.25745187742713, 88.08491401638162, 90.53781774718605, 90.86232156771561]
","[7, 1, 15, 26, 21]
","0
","2.690448760986328
","0
","[1959, 1953, 1967, 1978, 1973]
"
1983,"[88.33398542203109, 90.33747019530293, 90.6854902694089, 90.70775005310779, 92.02662109290502]
","[22, 14, 9, 8, 27]
","0
","2.6754980087280273
","0
","[1975, 1967, 1962, 1961, 1980]
"
1984,"[90.1576302924539, 91.42836135021773, 92.30164049426837, 93.46843881142786, 93.68036254562087]
","[1, 6, 15, 27, 7]
","0
","2.690211057662964
","0
","[1955, 1960, 1969, 1981, 1961]
"
1985,"[78.9930425333767, 79.77435762292765, 81.7191164653279, 83.69074013789745, 85.11260373868215]
","[14, 0, 12, 1, 10]
","0
","2.636646032333374
","0
","[1969, 1955, 1967, 1956, 1965]
"
1986,"[83.31260700619721, 84.29190935433176, 84.75277706224159, 85.04024378993384, 89.02639785677596]
","[29, 9, 19, 11, 22]
","0
","2.6914329528808594
","0
","[1985, 1965, 1975, 1967, 1978]
"
1987,"[78.31391512152474, 81.40425006670264, 81.58064765448503, 81.98529823100716, 83.12444337120047]
","[1, 18, 10, 12, 29]
","0
","2.6189181804656982
","0
","[1958, 1975, 1967, 1969, 1986]
"
1988,"[84.25727031112227, 87.1600422217036, 89.00237428605931, 90.25274919568274, 92.46558143998433]
","[25, 23, 17, 4, 3]
","0
","3.11575984954834
","0
","[1983, 1981, 1975, 1962, 1961]
"
1989,"[88.00803692096164, 94.03137372051232, 94.80041344781017, 95.12436948085973, 95.47496861944416]
","[9, 24, 4, 3, 8]
","0
","2.8403308391571045
","0
","[1968, 1983, 1963, 1962, 1967]
"
1990,"[89.53903140245055, 89.7397886660107, 90.9755648888626, 94.74639069986816, 95.02031997804654]
","[15, 7, 4, 2, 25]
","0
","2.8024230003356934
","0
","[1975, 1967, 1964, 1962, 1985]
"
1991,"[84.76310921079205, 85.51648683497606, 85.56152091829367, 90.32598017809663, 92.33691211397526]
","[20, 8, 9, 26, 14]
","0
","2.7801549434661865
","0
","[1981, 1969, 1970, 1987, 1975]
"
1992,"[83.22356948423379, 86.70077241864914, 88.38934305163806, 89.60556359760537, 90.2980677745681]
","[29, 13, 26, 28, 19]
","0
","2.8831119537353516
","0
","[1991, 1975, 1988, 1990, 1981]
"
1993,"[81.03093209019036, 81.75579036415347, 81.93022794559212, 86.19593017652404, 86.58942438667971]
","[12, 24, 10, 28, 17]
","0
","3.281132698059082
","0
","[1975, 1987, 1973, 1991, 1980]
"
1994,"[85.36235868929334, 86.82599626194035, 90.6511363998805, 91.8017073769142, 91.89091159942332]
","[5, 23, 6, 28, 13]
","0
","5.5722949504852295
","0
","[1969, 1987, 1970, 1992, 1977]
"
