,1,2,3,4,5
1981,1970,1968,1951,1955,1962
1982,1959,1953,1967,1978,1973
1983,1975,1967,1962,1961,1980
1984,1955,1960,1969,1981,1961
1985,1969,1955,1967,1956,1965
1986,1985,1965,1975,1967,1978
1987,1958,1975,1967,1969,1986
1988,1983,1981,1975,1962,1961
1989,1968,1983,1963,1962,1967
1990,1975,1967,1964,1962,1985
1991,1981,1969,1970,1987,1975
1992,1991,1975,1988,1990,1981
1993,1975,1987,1973,1991,1980
1994,1969,1987,1970,1992,1977
1995,1993,1987,1975,1978,1992
1996,1993,1987,1973,1991,1969
1997,1982,1975,1992,1994,1995
1998,1969,1970,1985,1981,1992
1999,1970,1987,1991,1975,1985
2000,1976,1995,1989,1970,1996
2001,1986,1999,1975,1987,1978
2002,1998,1988,1995,1993,1997
2003,1988,1998,1997,1995,1985
2004,2003,1985,1993,1998,1984
2005,1995,2003,1975,1998,1985
2006,1979,1999,1995,1987,2001
2007,1995,2003,1987,1993,1986
2008,1986,2000,1988,2001,2005
2009,1987,2005,1995,1997,2001
2010,2004,1981,1985,1998,1983
2011,1999,1994,1987,1998,2001
2012,2003,2005,2009,1995,2000
2013,1987,1998,1999,1993,2001
2014,1994,1987,2002,1993,2001
2015,2009,2014,2013,2001,1989
2016,2005,1990,1995,1998,1993
2017,2004,2003,1993,2010,2005
2018,1999,2006,2001,2013,1995
2019,2005,2012,1990,2016,1991
2020,2005,2016,1990,2013,1995
