,0,1,2,3
att1,276.6797,96542.29,13.201628,0.29246294
att2,276.42227,96547.35,13.2246065,0.21851903
att3,276.29498,96572.35,13.303865,0.16138239
att4,276.1847,96583.39,13.335017,0.2985552
att5,276.2265,96587.32,13.339202,0.2919037
att6,276.26364,96570.414,13.236966,0.17279127
att7,276.24725,96562.49,13.173794,0.16707966
att8,276.1847,96567.06,13.282184,0.14492394
att9,276.15063,96560.68,13.090496,0.35791484
att10,276.0997,96558.195,13.024601,0.36877868
att11,276.03372,96505.66,13.129939,0.31615028
att12,276.22583,96422.95,12.726587,0.2962225
att13,276.4776,96408.44,12.708107,0.14254667
att14,276.35123,96412.68,12.860936,0.14907451
att15,276.34204,96402.99,13.1361475,0.20081444
att16,276.63013,96342.14,13.05974,0.102846436
att17,276.77884,96254.6,12.689985,0.07300241
att18,276.48526,96289.78,12.9713955,0.33249432
att19,276.24243,96382.76,12.80402,0.33488685
att20,276.183,96471.17,12.844966,0.41259798
att21,276.1618,96545.45,12.656825,0.43371293
att22,276.4142,96570.914,12.356305,0.29671246
att23,276.63086,96548.09,11.977075,0.3023527
att24,276.50323,96505.4,11.857459,0.2598222
att25,276.50668,96546.74,12.033903,0.3051476
att26,276.33826,96607.62,12.516606,0.07849789
att27,276.41394,96585.625,12.488662,0.1389756
att28,276.35342,96551.86,12.335409,0.23290928
att29,276.3367,96466.03,12.161126,0.3176665
att30,276.21744,96444.266,12.131229,0.27502477
att31,276.2592,96395.17,11.966681,0.27194178
att32,276.05484,96354.72,12.122144,0.14929996
att33,275.87064,96331.89,12.1984825,0.19397461
att34,275.59824,96359.0,12.2586565,0.27415913
att35,275.59314,96398.36,12.420335,0.24263895
att36,275.49936,96436.125,12.529207,0.31568217
att37,275.53476,96400.29,12.361447,0.30318987
att38,275.32965,96414.14,12.459243,0.19220623
att39,275.2006,96474.63,12.660313,0.19343619
att40,275.00424,96470.484,12.713292,0.26074114
att41,274.8377,96488.39,12.701276,0.36430183
att42,274.76074,96505.016,12.754862,0.36007988
att43,274.92386,96521.914,12.708003,0.4175381
att44,275.03424,96518.484,12.555209,0.34946737
att45,275.3118,96469.95,12.563508,0.15508862
att46,275.51385,96436.73,12.616147,0.21851696
att47,275.66098,96413.47,12.945033,0.10890507
att48,275.50693,96456.66,13.290534,0.20583545
att49,275.1292,96497.32,13.336808,0.2006317
att50,275.30298,96506.375,13.322087,0.21177244
att51,275.56506,96504.08,12.93683,0.15359306
att52,275.7524,96541.06,13.01442,0.124231465
att53,275.63443,96534.52,13.134189,0.11871402
att54,275.87604,96550.64,13.21801,0.12376146
att55,275.84122,96489.39,13.018001,0.13911714
att56,275.58594,96398.21,13.17039,0.20771213
att57,275.39227,96378.484,13.466363,0.29186273
att58,275.1539,96386.336,13.595214,0.2371064
att59,274.85785,96397.32,13.574448,0.24845986
att60,274.77283,96395.66,13.790872,0.090197064
att61,274.74326,96470.69,13.92654,0.024386482
att62,274.76193,96506.06,13.685709,-0.022413408
att63,274.76572,96453.38,13.662453,0.044253368
att64,274.53064,96468.72,13.768842,0.03999917
att65,274.5371,96482.18,13.67286,0.1555137
att66,274.58347,96480.06,13.872829,0.06921342
att67,274.37918,96436.75,14.173099,0.15467955
att68,274.2579,96366.98,14.218438,0.20035492
att69,274.19217,96342.3,14.140862,0.19740883
att70,274.1653,96342.0,13.854461,0.0077274153
att71,274.01697,96366.8,13.900079,0.06514948
att72,274.10028,96421.89,13.939752,0.018866122
att73,274.4474,96472.484,13.779148,-0.06298024
att74,274.47107,96498.52,14.006516,-0.122112736
att75,274.26346,96518.85,14.017486,-0.05213366
att76,274.37753,96513.12,14.009361,-0.13052881
att77,274.8854,96459.38,13.635455,-0.039134208
att78,274.97107,96445.85,13.282979,0.010878994
att79,274.8602,96482.914,13.023477,-0.17422554
att80,275.10672,96488.79,12.723819,-0.13177888
att81,275.41003,96470.87,12.540369,-0.03743511
att82,275.28177,96468.88,12.672476,0.04980601
att83,275.25458,96482.875,12.751528,-0.030913169
att84,275.37485,96520.195,13.193585,-0.15864624
att85,275.21237,96527.37,13.511285,-0.17188717
att86,275.21255,96494.61,13.59316,-0.053108763
att87,275.33652,96455.6,13.321364,-0.154392
att88,275.3447,96420.7,13.08012,-0.24011023
att89,275.2872,96432.34,13.0807295,-0.16034338
att90,275.4687,96508.65,13.475288,-0.16049464
att91,275.15866,96545.31,13.6416445,-0.15225159
att92,275.32474,96521.94,13.435407,-0.15770352
att93,275.89636,96515.8,13.33049,-0.13129555
att94,275.82797,96537.945,13.092696,-0.12574296
att95,275.84946,96510.8,12.928416,-0.17788601
att96,275.59116,96502.234,13.16853,-0.009100893
att97,275.35156,96467.56,13.256517,-0.093844116
att98,275.2366,96413.125,13.314754,-0.056643736
