,0,1,2,3
att1,276.65543,96434.02,13.485259,0.36315545
att2,276.54315,96444.484,13.53405,0.29567644
att3,276.58945,96463.195,13.515577,0.2901486
att4,276.91782,96394.055,13.301436,0.27269518
att5,276.60333,96363.57,13.457134,0.39043108
att6,276.39362,96357.75,13.588369,0.11429608
att7,276.15598,96318.2,13.584835,0.2437577
att8,275.9512,96259.56,13.574217,0.40967855
att9,275.87875,96302.41,13.703046,0.39545286
att10,276.04547,96330.63,13.603704,0.39296338
att11,276.2433,96360.586,13.58172,0.2835456
att12,276.33658,96331.42,13.223429,0.17729466
att13,276.39487,96312.7,13.108959,0.5218228
att14,276.15363,96318.41,12.962521,0.52182746
att15,276.09222,96360.54,12.828446,0.4183886
att16,276.41153,96400.87,12.884199,0.33810705
att17,276.50397,96343.76,12.619755,0.31821737
att18,276.34515,96334.05,12.51207,0.4069426
att19,276.51013,96391.945,12.4436245,0.40034246
att20,276.59595,96472.9,12.583934,0.36168018
att21,276.43924,96510.72,12.552633,0.39140326
att22,276.57034,96546.45,12.379423,0.41792068
att23,276.73163,96593.31,12.3211355,0.33958915
att24,276.392,96626.72,12.497941,0.27246004
att25,276.3092,96635.41,12.867746,0.2704121
att26,276.3491,96636.69,12.933522,0.28887102
att27,276.25943,96580.07,13.024994,0.4445909
att28,276.01782,96550.4,13.200384,0.42986497
att29,276.04242,96563.11,13.720197,0.5256964
att30,276.0623,96580.05,13.994071,0.5350106
att31,276.117,96591.016,13.971326,0.4860761
att32,276.08014,96635.16,13.677918,0.37930375
att33,275.8785,96659.35,13.632104,0.47460628
att34,275.4131,96667.7,13.869423,0.30317745
att35,275.35535,96681.336,13.7774105,0.35088778
att36,275.16504,96683.9,13.5266485,0.3046033
att37,275.0549,96648.26,13.664803,0.25008002
att38,275.19348,96610.42,13.624721,0.28082964
att39,275.80756,96595.75,12.744077,0.2733848
att40,276.03217,96619.93,12.726289,0.11599217
att41,275.74808,96647.766,13.086438,0.19236407
att42,275.51187,96718.695,13.846944,0.35509416
att43,275.77478,96714.25,13.645686,0.3025496
att44,276.20834,96619.13,13.247454,0.3248041
att45,275.89407,96632.05,13.772671,0.5841402
att46,275.93875,96657.56,13.905188,0.7448831
att47,276.0734,96601.35,13.644226,0.4945177
att48,276.11978,96510.32,13.435916,0.2767716
att49,275.99036,96475.03,13.385377,0.24839722
att50,275.87134,96470.84,13.239641,0.26758572
att51,275.94867,96426.12,13.1518755,0.18129489
att52,275.9377,96384.45,13.201536,0.17144132
att53,275.45163,96378.805,13.388014,0.32109886
att54,274.97418,96385.64,13.471219,0.3617304
att55,275.14847,96325.516,13.488188,0.25996867
att56,275.1133,96278.8,13.637059,0.15840003
att57,274.97528,96259.9,13.400063,0.22197978
att58,274.89197,96298.9,13.462904,0.24548054
att59,274.68164,96383.94,13.530733,0.18099889
