,0,1,2,3
att1,277.38196,96316.38,14.113879,0.4737986
att2,277.4179,96259.26,14.084769,0.3799079
att3,277.23734,96250.984,13.808138,0.31720576
att4,276.98495,96291.266,13.587707,0.51521593
att5,276.9283,96358.44,13.308565,0.42193925
att6,276.9847,96411.05,13.100485,0.37664455
att7,276.8492,96418.4,13.097396,0.40420708
att8,276.753,96443.0,13.207987,0.430277
att9,276.58145,96478.414,13.255173,0.38186008
att10,276.50375,96535.55,13.077697,0.28291005
att11,276.60986,96585.805,12.976063,0.22554423
att12,276.755,96569.63,12.848133,0.34410438
att13,277.0799,96557.36,12.653885,0.47356203
att14,277.06418,96577.76,12.852946,0.3064197
att15,276.96255,96539.836,12.952561,0.27919993
att16,276.98996,96483.46,12.930945,0.3728592
att17,276.8947,96452.81,13.017825,0.28716114
att18,276.67328,96441.5,13.394887,0.33421806
att19,276.76913,96398.914,13.387462,0.17538054
att20,276.8037,96400.625,13.066733,0.12967795
att21,277.07077,96453.2,12.702984,0.22741355
att22,277.13153,96498.11,12.524688,0.20951772
att23,276.92163,96475.3,12.613669,0.3066801
att24,276.59348,96405.82,12.699131,0.36408356
att25,276.488,96383.94,12.939323,0.54047364
att26,276.26364,96405.89,13.220623,0.43524188
att27,276.31818,96420.46,13.244405,0.28224176
att28,276.55847,96464.195,13.152722,0.41299388
att29,276.58124,96492.27,13.25835,0.35896516
att30,276.4215,96503.586,13.352361,0.28713775
att31,276.17822,96557.12,13.422671,0.40502998
att32,276.2041,96555.234,13.267526,0.29892465
att33,276.49817,96528.28,13.327954,0.19311696
att34,277.06198,96462.91,13.259792,0.36422464
att35,277.0324,96404.16,13.085347,0.3502493
att36,276.89243,96421.86,13.345866,0.45817038
att37,276.4034,96439.6,13.598261,0.42684677
att38,276.2059,96413.2,13.768262,0.30811104
att39,276.19107,96393.92,13.810031,0.37328696
att40,276.33105,96382.5,13.736376,0.41889507
att41,276.73755,96370.61,13.627807,0.44018978
att42,277.05682,96333.53,13.383012,0.109034486
att43,277.06186,96287.89,13.411436,-0.07408674
att44,276.76562,96290.8,13.374909,0.17900972
att45,276.4439,96349.77,13.421018,-0.0009227503
att46,276.41632,96385.51,13.588989,0.05682316
att47,276.51727,96453.03,13.587641,0.024116132
att48,276.8164,96514.43,13.424813,0.027165812
att49,277.08926,96466.34,12.997042,0.3557534
att50,276.76917,96428.266,13.026972,0.2664872
att51,276.58307,96390.14,12.98379,0.21011586
att52,276.54068,96371.445,12.75682,0.23438501
att53,276.54575,96345.01,12.593469,0.26705432
att54,276.52646,96398.555,12.570602,0.24821123
att55,276.5323,96446.555,12.75613,0.41737467
att56,276.97183,96386.11,12.40381,0.33205345
att57,277.3274,96368.4,12.227521,0.38673306
att58,277.05673,96472.73,12.612829,0.17043538
att59,277.1748,96471.03,12.608473,0.07719475
att60,277.4714,96414.414,12.554275,0.27420565
att61,277.15637,96413.31,12.627262,0.23685394
att62,276.9118,96418.125,12.763949,0.06040799
att63,277.15576,96387.27,13.160739,0.24274722
att64,276.8267,96417.06,13.505415,0.16773497
att65,276.813,96373.89,13.556156,0.28520462
att66,276.50754,96345.44,13.463286,0.16606347
att67,276.97473,96341.59,13.340447,0.2194786
att68,277.0363,96323.766,13.387318,0.10847485
att69,277.00537,96326.66,13.391859,-0.03422118
att70,276.8026,96334.0,13.623952,0.046892837
att71,276.61072,96331.96,13.749649,-0.05713383
att72,276.5331,96299.55,13.817176,0.093085684
att73,276.18008,96301.86,13.944402,0.09740535
att74,275.81046,96303.414,14.13539,0.10826123
att75,275.7913,96280.46,14.19816,0.050420187
att76,275.83047,96267.95,14.176049,0.054550797
att77,275.9142,96292.51,14.012759,0.13903518
att78,275.95947,96318.06,13.754524,0.048410587
att79,276.0853,96363.87,13.443304,-0.08586454
att80,276.22925,96350.695,13.284512,-0.11502923
att81,276.29865,96330.055,13.462691,0.028812798
att82,276.3297,96347.88,13.736049,0.06489175
att83,276.74753,96381.516,13.489542,0.021810777
att84,276.92923,96358.5,13.474737,-0.0419711
att85,276.75223,96335.34,13.497488,-0.010888702
att86,276.63528,96298.33,13.413583,0.031196525
att87,277.06702,96254.625,13.506403,-0.025415348
att88,277.18832,96256.234,13.739286,0.034174055
att89,276.87076,96267.29,13.942371,0.01665239
att90,276.70847,96282.086,14.093664,0.01330146
att91,276.95404,96285.38,13.902482,0.09921757
att92,277.41718,96311.625,13.784599,0.057838302
att93,277.6099,96292.77,13.995657,0.110469475
att94,277.2748,96319.24,13.866722,0.035548683
att95,277.13278,96353.53,13.809403,-0.031411726
att96,277.13824,96418.11,13.7008095,-0.018188732
att97,277.3537,96461.805,13.784464,-0.059949692
att98,277.37134,96468.08,13.992228,-0.025010282
att99,277.06378,96477.12,14.254608,-0.07822129
att100,277.11227,96458.59,14.479269,-0.19130357
att101,277.07388,96435.77,14.54036,-0.18075174
att102,277.05103,96415.98,14.545047,-0.22134781
att103,277.27762,96375.914,14.549087,-0.07060266
att104,277.12634,96413.086,14.37603,-0.122719266
att105,277.32288,96472.33,14.216929,-0.20906349
att106,277.7104,96467.92,13.695989,-0.2060312
att107,277.94327,96498.38,13.645979,-0.28704336
att108,277.88425,96449.37,13.825473,-0.3068881
att109,277.95868,96385.266,13.872839,-0.29845452
att110,277.95532,96417.9,13.984149,-0.23903985
att111,277.80374,96398.305,14.278387,-0.11788468
att112,277.95093,96362.38,14.19404,-0.17817606
att113,278.11063,96342.54,14.020745,-0.094730236
att114,278.23877,96386.44,14.048221,-0.14821507
att115,278.1869,96438.14,14.054294,-0.05337033
att116,278.247,96478.49,14.127732,-0.11432051
att117,278.25464,96487.32,14.189462,-0.29530212
att118,278.3036,96499.516,13.9192095,-0.30865753
att119,278.3061,96483.53,13.9562645,-0.29062498
att120,278.4964,96457.445,14.002081,-0.32515258
att121,278.529,96483.445,13.90695,-0.17907469
att122,278.7578,96452.805,13.203059,-0.120981164
att123,279.2022,96455.85,12.806351,-0.17486206
att124,279.41937,96523.21,12.922095,-0.34398073
att125,279.33655,96513.06,13.013387,-0.4899606
att126,279.3091,96520.6,13.013074,-0.5432422
att127,279.35147,96523.336,13.175337,-0.46209607
att128,279.36145,96546.1,13.138541,-0.3494918
att129,279.33334,96530.64,12.879664,-0.4638539
att130,279.05566,96475.734,12.954041,-0.44445908
att131,278.93896,96423.08,12.908935,-0.3680979
att132,278.96347,96444.12,12.753872,-0.37674126
att133,279.00656,96460.93,12.509149,-0.34277016
att134,279.10458,96465.375,12.514403,-0.33842313
att135,279.2022,96469.77,12.582348,-0.5712134
att136,279.49228,96507.66,12.6789055,-0.6369641
att137,279.4376,96535.77,12.677379,-0.7057901
att138,279.36676,96530.45,12.566219,-0.71581364
att139,279.4284,96538.36,12.594048,-0.58236176
att140,279.4548,96559.15,12.731206,-0.6357103
att141,279.56094,96565.97,12.600978,-0.5212939
