,0,1,2,3
att1,276.86417,96301.53,12.177594,0.22546531
att2,276.8596,96349.24,12.32602,0.2462187
att3,276.87317,96352.45,12.334023,0.22825734
att4,276.9899,96318.7,12.202359,0.2275182
att5,276.9105,96368.9,11.934671,0.31312984
att6,276.75476,96405.8,12.0615,0.33658773
att7,276.68234,96427.0,12.309572,0.40864748
att8,276.44525,96433.695,12.338489,0.27628443
att9,276.315,96423.85,12.072872,0.2479082
att10,276.36682,96436.55,12.094091,0.19234036
att11,276.25513,96442.85,12.048608,0.15394424
att12,276.4696,96425.92,11.7508135,0.21038443
att13,276.88187,96409.984,11.471985,0.3473175
att14,277.04572,96461.125,11.299888,0.35964608
att15,277.14542,96478.66,11.050334,0.24207483
att16,277.2954,96505.1,10.795528,0.2577751
att17,277.70264,96506.11,10.650271,0.2978702
att18,277.80392,96553.945,10.820354,0.29007244
att19,277.87112,96623.945,10.921933,0.16041972
att20,277.43472,96627.7,11.195147,0.28620815
att21,277.239,96605.734,11.433185,0.47550812
att22,277.13635,96594.625,11.279534,0.24078782
att23,277.46576,96575.06,10.914389,0.34388897
att24,277.0303,96547.53,10.850453,0.38435605
att25,276.74915,96587.22,11.160249,0.40508944
att26,276.67572,96595.086,11.02033,0.30468535
att27,276.45636,96593.26,11.428783,0.31269982
att28,276.35934,96559.49,11.718627,0.39853513
att29,275.99585,96608.07,11.889576,0.42116356
att30,276.00632,96590.5,11.442288,0.3750981
att31,276.26712,96529.15,10.983459,0.3657212
att32,276.09198,96586.42,11.090773,0.33951107
att33,276.06924,96589.055,11.213267,0.23931518
att34,276.66373,96548.84,11.175955,0.2201268
att35,276.53186,96569.85,11.452238,0.3809732
att36,276.79956,96602.51,11.506256,0.4257356
att37,276.61154,96630.08,11.515753,0.42251453
att38,276.3042,96665.12,12.0491,0.39439413
att39,275.84753,96614.414,12.348884,0.25123954
att40,275.80322,96524.38,12.168934,0.26986226
att41,276.18777,96427.87,11.919452,0.21329063
att42,275.80658,96395.64,11.760515,0.14043577
att43,276.03424,96333.55,11.693526,0.2004348
att44,276.1651,96309.82,11.703058,0.045581266
att45,276.07227,96345.33,11.930411,0.07037589
att46,275.99023,96405.79,12.167277,0.20064226
att47,275.6681,96412.44,12.26255,0.16421717
att48,275.31516,96422.086,12.444948,0.30530062
att49,275.1014,96445.66,12.560804,0.23780927
att50,275.22754,96460.945,12.412599,0.17658801
att51,275.1657,96518.11,12.475271,0.16075918
att52,275.2584,96530.45,12.29933,0.053433336
att53,275.17996,96442.84,12.040596,0.17557561
att54,274.97693,96429.38,11.92804,0.017053915
att55,275.3991,96431.73,11.320105,-0.050333623
att56,275.88147,96387.36,11.086042,-0.036439206
att57,275.39218,96448.43,11.600161,0.05991936
att58,274.91077,96489.62,11.984138,0.24211764
att59,274.79553,96521.28,12.377611,0.29719657
att60,274.6192,96426.79,12.545055,0.40092757
att61,274.86743,96408.96,12.668647,0.2834247
att62,275.42532,96417.49,12.449973,0.14252286
att63,275.57724,96416.68,12.428898,0.14132337
att64,275.46265,96449.695,12.703716,0.1572585
att65,275.3301,96508.29,12.688413,0.058314435
att66,275.37714,96532.164,12.888238,0.19618922
att67,275.351,96528.57,13.022671,0.14550047
att68,275.21167,96475.82,12.963093,0.12944463
att69,275.46417,96439.73,12.5198555,0.091141604
att70,275.3912,96548.23,12.563487,-0.03349872
att71,275.4157,96582.71,12.419456,0.22560038
att72,275.78787,96611.61,11.852251,0.13040458
att73,276.07068,96609.56,11.393236,-0.10377652
att74,275.86276,96580.63,11.295827,0.0028578527
att75,275.42365,96555.695,11.476637,0.0822309
att76,275.22424,96515.59,11.616721,0.23472051
att77,275.42575,96461.42,11.520893,0.05354179
att78,275.22794,96428.125,11.769203,0.25717464
att79,275.07898,96482.39,12.010449,0.1812017
att80,275.20715,96493.086,12.215618,0.22050153
att81,274.7588,96527.695,12.197918,0.081294894
att82,274.6785,96527.92,12.274984,0.014659598
att83,274.5559,96503.695,12.535114,-0.016999533
att84,274.44772,96527.91,12.494631,-0.055101704
att85,274.28174,96557.695,12.367247,-0.20126036
att86,274.4992,96564.29,12.534499,-0.15757208
att87,274.8577,96498.26,12.604755,-0.083720334
att88,274.98425,96430.43,12.48661,-0.08688255
att89,275.1011,96402.484,12.432491,0.04510858
att90,274.85123,96459.1,12.682485,-0.054968543
att91,274.72052,96453.41,12.8918705,-0.18932636
att92,274.72925,96462.93,12.98606,-0.13944057
att93,274.68445,96499.93,12.819373,-0.084330186
att94,274.74142,96521.234,12.668594,-0.05343205
att95,274.9032,96507.51,12.788997,0.011679174
att96,275.10568,96530.375,12.951379,0.032210097
att97,275.2515,96581.36,12.882142,-0.17279664
att98,275.20267,96562.12,12.973739,-0.005697172
att99,275.24463,96554.39,12.956653,-0.12607954
att100,275.44016,96541.67,13.1873,-0.22956215
att101,275.57486,96522.14,13.17484,-0.041878704
att102,275.48453,96542.82,13.408973,-0.14098829
att103,275.87872,96543.69,13.579222,-0.2620804
att104,276.13947,96532.95,13.250446,-0.2419881
att105,276.64316,96530.03,12.914321,-0.13743521
att106,276.77045,96501.01,13.152439,-0.17616236
att107,276.59088,96454.13,13.411144,-0.08782137
att108,276.4258,96455.66,13.449115,-0.16762076
att109,276.14078,96464.305,13.581558,-0.22652005
att110,275.959,96450.92,13.586839,-0.20864901
att111,276.0573,96428.46,13.276594,-0.313611
att112,276.49078,96413.836,13.236413,-0.3253034
att113,276.73026,96443.836,13.341959,-0.36034983
att114,276.8295,96481.31,13.297865,-0.3381839
att115,276.60303,96519.24,13.217579,-0.36150864
att116,276.458,96534.87,13.214051,-0.44697368
att117,276.51245,96507.336,13.12802,-0.29619852
att118,276.90744,96494.6,13.046156,-0.27923217
att119,276.9658,96463.24,13.180134,-0.3629174
att120,276.9422,96428.52,13.217574,-0.10292029
att121,277.1073,96387.62,13.0884075,-0.12721062
att122,277.4052,96366.97,12.892112,-0.2881543
att123,277.45233,96358.12,12.8521805,-0.30197084
att124,277.41663,96403.82,12.876497,-0.24915886
att125,277.40823,96461.28,12.941845,-0.24739602
att126,277.34537,96500.8,13.244375,-0.14515862
att127,277.7515,96515.96,13.032934,-0.21927404
att128,278.20233,96509.97,12.913857,-0.38570562
att129,278.64502,96483.71,12.737885,-0.25956026
att130,278.2746,96519.04,12.836613,-0.5025607
att131,278.13922,96530.08,12.847076,-0.5297629
att132,278.20963,96541.586,12.656543,-0.47876135
att133,278.14133,96589.67,12.69175,-0.56184644
att134,278.2861,96580.48,12.639279,-0.41225716
att135,279.0159,96619.59,11.979726,-0.29639062
att136,279.03653,96644.45,12.3396,-0.46538797
att137,278.68628,96571.81,12.448271,-0.40876982
att138,278.63342,96537.945,12.588485,-0.3262145
att139,278.45493,96535.32,12.67399,-0.4375445
att140,278.51788,96475.86,12.834491,-0.4153756
att141,278.5435,96446.695,12.589291,-0.5646498
att142,278.64636,96485.89,12.331026,-0.49074006
att143,278.60977,96491.12,12.070402,-0.64568573
att144,278.83444,96451.945,11.679823,-0.5368662
att145,279.10284,96424.43,11.602799,-0.49372035
att146,279.0104,96388.9,11.650015,-0.5430858
att147,278.90295,96368.11,11.773674,-0.5716579
att148,278.80447,96412.08,12.092037,-0.400759
att149,279.20294,96417.42,12.201502,-0.5433141
att150,279.2065,96390.68,11.736601,-0.7836718
att151,279.19083,96369.15,11.417128,-0.65504545
att152,279.1854,96387.69,11.685292,-0.6995812
att153,279.2785,96420.945,11.845427,-0.6000037
att154,279.27774,96453.97,11.824813,-0.70291656
att155,279.28488,96466.77,11.646365,-0.58164173
att156,279.22644,96493.5,11.588485,-0.6861614
att157,279.0509,96508.45,11.364426,-0.6705524
att158,278.9199,96477.41,11.174488,-0.83178824
att159,278.8699,96461.49,11.136097,-0.74143434
att160,278.85413,96439.33,11.133679,-0.6757247
att161,279.11282,96409.7,10.928512,-0.7257761
att162,279.51254,96425.695,10.560633,-0.69164944
att163,279.5325,96423.234,10.560134,-0.81294316
att164,279.5017,96377.195,10.619253,-0.6285168
att165,279.33096,96382.44,10.956403,-0.5914523
att166,279.18057,96385.86,11.096365,-0.47833312
att167,278.9002,96428.27,11.040206,-0.58989143
att168,278.89017,96444.375,10.996847,-0.7440181
att169,278.9036,96400.89,11.160976,-0.842421
att170,278.82236,96360.586,11.1358185,-0.7488241
att171,278.767,96322.41,10.966975,-0.8147001
att172,278.85263,96304.4,11.040923,-0.88988847
att173,278.82236,96302.91,11.159086,-0.84778035
att174,279.03186,96289.125,11.093141,-0.64675117
att175,279.26657,96318.94,10.666041,-0.6417366
att176,279.00986,96362.27,10.3411455,-0.66753024
att177,279.14093,96356.74,10.341351,-0.67234105
att178,279.27188,96404.53,10.401567,-0.6632437
att179,279.27997,96448.09,10.094417,-0.7317778
att180,279.39066,96491.125,10.3074255,-0.8014809
att181,279.23596,96506.164,10.38671,-0.8749217
att182,279.1838,96508.13,10.472131,-0.9368348
att183,279.2414,96501.75,10.542621,-0.76568955
