,0,1,2,3
att1,276.50598,96445.67,12.833841,0.11714713
att2,276.48618,96454.11,12.799523,0.17275499
att3,276.55112,96497.99,12.958919,0.18597047
att4,276.51584,96470.38,12.989824,0.09093245
att5,276.50388,96461.38,13.335254,0.1075154
att6,276.34204,96497.07,13.600403,0.0429215
att7,276.367,96497.72,13.722641,0.1379377
att8,276.01288,96500.81,13.701967,0.13259523
att9,275.80814,96517.56,13.77489,0.13986388
att10,275.47064,96566.6,13.876947,0.16875494
att11,275.5005,96610.625,13.852651,0.16309468
att12,275.77744,96638.805,13.99358,0.26119772
att13,275.86224,96657.69,14.073607,0.37916958
att14,276.07236,96622.3,13.612474,0.256426
att15,276.4377,96538.37,13.214048,0.052430663
att16,276.2403,96521.43,13.351994,0.21089897
att17,276.01636,96519.35,13.213231,0.31579533
att18,275.96094,96511.055,13.17224,0.2672422
att19,276.0879,96486.94,13.056355,0.30371296
att20,276.0849,96486.37,13.334235,0.24583147
att21,276.10312,96520.72,13.536907,0.18498577
att22,276.0026,96554.47,13.686278,0.2920311
att23,276.0151,96506.016,13.628542,0.17863022
att24,275.90344,96549.28,13.604009,0.16801083
att25,275.83163,96579.11,13.691545,0.23988697
att26,275.6268,96564.65,13.817628,0.33121777
att27,275.29758,96501.41,13.950308,0.33050427
att28,275.18314,96449.33,13.925628,0.29350364
att29,275.3619,96421.414,13.998238,0.48894414
att30,275.44897,96392.29,13.779065,0.46208254
att31,275.54852,96345.03,13.451265,0.39055097
att32,275.54556,96337.92,13.3299055,0.40781686
att33,275.37817,96371.53,13.319012,0.26080295
att34,275.45493,96388.7,13.487623,0.18220408
att35,275.5644,96437.49,13.50549,0.2189993
att36,275.89142,96487.21,13.186944,0.14949119
att37,276.01688,96491.95,13.216805,0.28146794
att38,276.00232,96450.03,13.136599,0.21366072
att39,275.83987,96440.98,13.31734,0.3139139
att40,275.74545,96449.68,13.4768505,0.30870336
att41,275.54208,96462.03,13.25864,0.3227179
att42,275.42245,96470.87,13.141505,0.28564897
att43,275.39075,96508.41,12.953646,0.21777594
att44,275.5913,96584.44,12.640912,0.124162935
att45,275.74103,96594.4,12.81267,0.20449118
att46,275.61063,96587.164,13.205368,0.21017228
att47,275.4834,96639.76,13.294476,0.18309467
att48,275.35504,96642.88,13.443276,0.1929177
att49,275.21927,96623.734,13.598311,0.14264481
att50,275.1881,96630.75,13.588768,0.123007275
att51,275.0877,96624.484,13.676627,0.19620238
att52,274.875,96613.41,13.76781,0.013499836
att53,274.82132,96570.305,13.860838,0.13768758
att54,274.9063,96528.766,13.825469,0.15495166
att55,274.94913,96491.81,13.63108,0.041484233
att56,274.89645,96494.72,13.339502,0.13274264
att57,274.93546,96496.43,13.203271,0.029234307
att58,274.95734,96516.305,13.374676,0.15500593
att59,275.05722,96528.46,13.4581785,0.22452442
att60,274.85065,96557.625,13.136226,0.07592085
att61,275.1291,96545.195,12.71948,0.08672765
att62,275.36987,96536.734,12.455099,0.14369589
att63,275.5751,96541.836,12.534485,0.11629771
att64,275.31378,96511.93,12.511101,0.23795758
att65,275.09924,96500.36,12.665891,0.1773232
att66,274.93802,96422.945,13.011282,-0.020005427
att67,274.9144,96355.79,13.25959,0.056630597
att68,274.61353,96356.98,13.515595,0.06873403
att69,274.25693,96361.12,13.649109,0.0858754
att70,273.9677,96301.2,13.748443,-0.0011309388
att71,273.8037,96242.97,13.915129,-0.06986869
att72,273.71924,96276.836,14.122815,-0.13183495
att73,273.80798,96320.32,14.168791,0.005349216
att74,274.0512,96378.375,13.812705,-0.06585505
att75,274.3256,96398.984,13.081733,-0.06787273
att76,274.7382,96371.7,12.716772,0.055494763
att77,274.6494,96353.78,13.198561,-0.019302577
att78,274.39227,96414.86,13.508491,-0.17946528
att79,274.35284,96444.15,13.609127,-0.13586465
att80,274.17874,96461.03,13.5880165,-0.0013060548
att81,274.15988,96440.56,13.599048,0.10393565
att82,273.74374,96422.49,13.512181,0.17758386
att83,273.74677,96439.56,13.461307,0.033284936
att84,273.68747,96460.79,13.560474,0.045127682
att85,273.79907,96469.03,13.495674,-0.012154532
att86,274.44525,96451.58,13.1705265,-0.114859976
att87,274.51822,96427.94,12.801984,-0.20659527
att88,274.3997,96467.67,12.9960375,-0.04235531
att89,274.40503,96507.05,13.135223,-0.021091966
att90,274.40622,96519.445,13.046554,-0.05000087
att91,274.4112,96521.76,12.882134,-0.14856422
att92,274.34256,96509.53,12.786817,-0.32593873
att93,274.22974,96496.234,12.885181,-0.3461719
att94,274.24478,96479.875,12.90649,-0.30854535
att95,274.6854,96487.41,12.958537,-0.27432832
att96,274.64743,96514.414,13.209056,-0.33306494
att97,274.70425,96531.22,12.993569,-0.41468972
att98,274.83167,96533.94,12.77041,-0.2700389
att99,275.0984,96512.96,12.52989,-0.3368434
att100,275.62305,96468.3,12.35573,-0.1865818
att101,275.84494,96438.21,12.562442,-0.14502369
att102,275.9474,96409.63,12.5794935,-0.2118825
att103,275.39706,96486.71,12.760804,-0.31681094
att104,275.6107,96574.8,13.054363,-0.21780999
att105,275.3684,96599.24,13.218835,-0.29076475
