,0,1,2,3
att1,276.81073,96738.73,12.461767,0.21520476
att2,276.8274,96733.71,12.128491,0.17730036
att3,276.71536,96748.79,12.308211,0.2570415
att4,276.57272,96786.5,12.349925,0.41515604
att5,276.49765,96856.04,12.50529,0.5761482
att6,276.51578,96879.35,12.448399,0.65919995
att7,276.72922,96793.11,12.042531,0.61552906
att8,277.1139,96723.62,12.0480585,0.41245255
att9,277.1317,96742.91,12.623883,0.39719284
att10,276.9007,96791.26,12.750248,0.33652118
att11,276.55164,96824.375,12.759733,0.3880042
att12,276.59155,96805.69,12.864832,0.26114538
att13,276.49542,96740.93,12.963064,0.41877487
att14,276.35236,96685.31,12.910319,0.45237347
att15,276.29004,96672.87,12.96717,0.34477177
att16,276.25922,96648.96,12.788326,0.22950532
att17,276.18915,96637.555,12.5983925,0.30789474
att18,276.21472,96618.54,12.425894,0.33422193
att19,276.45264,96626.38,12.097196,0.21027118
att20,276.5345,96656.086,12.0582285,0.23919427
att21,276.30704,96684.1,12.252119,0.3585513
att22,276.21252,96674.23,12.318506,0.18595995
att23,276.06967,96683.85,12.274977,0.3151561
att24,276.03983,96720.414,12.296334,0.30317736
att25,276.27863,96760.41,12.46376,0.33628136
att26,276.69586,96777.97,12.522839,0.29480407
att27,276.88876,96817.16,12.379356,0.23700175
att28,276.9743,96843.55,12.662854,0.3491545
att29,277.00443,96863.17,12.646022,0.3921956
att30,276.6306,96880.04,12.916631,0.29135278
att31,276.30124,96828.59,12.929499,0.31254095
att32,276.27713,96786.46,12.667957,0.28405166
att33,276.19193,96740.9,12.372733,0.32707113
att34,276.07043,96749.836,12.200558,0.44309393
att35,276.08356,96743.516,12.046809,0.41461864
att36,276.52264,96670.74,11.627396,0.22821537
att37,276.2539,96659.984,12.079053,0.1806375
att38,276.01413,96574.695,12.189734,0.23779209
att39,275.7842,96528.234,12.290284,0.21392894
att40,275.66235,96563.336,12.343657,0.19078583
att41,275.40546,96646.15,12.41063,0.11950058
att42,275.30737,96696.82,12.65765,0.05478033
att43,275.51233,96704.51,12.552833,0.025364432
att44,275.45578,96695.91,12.503302,0.012850211
att45,275.39175,96704.07,12.431223,0.01439424
att46,275.45584,96670.03,12.340295,-0.025307097
att47,275.27148,96637.34,12.40133,0.066525996
att48,274.8011,96637.82,12.4912195,0.10156782
att49,275.4746,96596.4,12.475738,0.08018563
att50,275.64697,96547.89,12.50943,0.10717952
att51,275.63504,96472.63,12.648259,0.03127679
att52,275.43488,96436.664,12.626617,-0.13108923
att53,275.61157,96456.28,12.426101,0.06193869
att54,275.52032,96457.484,12.656301,-0.056847427
att55,275.46252,96385.46,12.636857,0.021582855
att56,275.33475,96321.12,12.488623,-0.07756078
att57,275.46677,96246.836,11.822453,-0.037135456
att58,275.70514,96286.234,11.940872,-0.10761313
att59,275.66025,96370.47,12.424264,0.03045465
att60,275.4744,96415.17,12.552247,-0.022562686
att61,275.32303,96471.31,12.750752,0.0032030973
att62,275.0245,96516.68,13.076594,-0.06536996
att63,274.84918,96484.836,13.038102,-0.07574099
att64,274.91214,96457.13,13.147996,-0.0028633338
att65,274.98868,96467.44,13.015891,-0.05675511
att66,275.31757,96487.28,12.899983,-0.16376132
att67,275.3807,96517.72,12.821323,-0.10887348
att68,275.0924,96558.945,12.940259,-0.022171613
att69,274.57266,96542.984,12.802923,-0.0554613
att70,274.62424,96493.73,12.825784,-0.05467741
att71,274.78638,96483.555,12.990719,-0.13489525
att72,274.42657,96516.47,13.167642,-0.1714771
att73,274.04132,96503.16,13.179083,-0.22169691
att74,273.7399,96500.44,13.181771,-0.14433575
att75,273.8824,96478.914,13.278722,-0.21900766
att76,274.15164,96462.055,13.17248,-0.20976785
att77,274.18298,96480.24,13.253749,-0.111871086
att78,274.68835,96490.61,13.333272,0.075664945
att79,274.93948,96537.09,13.215056,0.03397734
att80,274.5038,96594.69,13.216326,0.0058000237
att81,274.6355,96629.17,13.103777,0.13626906
att82,274.7913,96657.16,13.032497,0.115450144
att83,274.8211,96685.984,13.096644,0.19613203
att84,274.90918,96647.914,13.286378,0.13379386
att85,274.9337,96605.16,13.322803,0.01432568
att86,274.91125,96629.87,13.328335,-0.050968442
att87,274.95178,96643.84,13.373463,-0.12710994
att88,275.2633,96610.42,13.291598,-0.14324284
att89,275.39423,96589.97,13.459114,-0.30481058
att90,275.27252,96591.15,13.417554,-0.113597654
att91,275.30222,96626.52,13.23119,-0.05498278
att92,275.9661,96626.51,13.005476,-0.060859784
att93,276.4033,96611.164,12.988694,-0.12925111
att94,276.3645,96654.164,12.859234,-0.12713265
att95,276.39185,96707.41,12.964591,-0.1452948
att96,276.3536,96730.22,13.118537,-0.21604927
att97,276.0735,96760.68,13.295267,-0.04571238
att98,276.0424,96755.93,13.524239,-0.0077092303
att99,276.02014,96699.52,13.642745,-0.007080415
att100,275.7488,96670.45,13.613332,-0.084587924
att101,275.6973,96683.555,13.611414,0.0054052924
att102,275.75015,96646.04,13.621025,-0.03516814
att103,275.72357,96587.625,13.3754015,-0.22480293
att104,275.35858,96637.08,13.688293,-0.27902102
