,0,1,2,3
att1,276.62772,96596.35,13.163382,0.2816811
att2,276.61072,96564.22,13.092809,0.4619988
att3,276.6756,96517.78,13.463436,0.4034077
att4,276.56424,96515.06,13.665674,0.35848656
att5,276.49814,96503.66,13.753435,0.34933415
att6,276.4492,96522.15,13.691837,0.205158
att7,276.5133,96529.766,13.750887,0.26749632
att8,276.55792,96515.58,13.557794,0.27149084
att9,276.49298,96539.78,13.303076,0.3653531
att10,276.63843,96554.086,12.808515,0.28060412
att11,277.20804,96574.84,12.497796,0.3220978
att12,277.42938,96580.97,12.824083,0.438851
att13,277.52777,96586.59,12.901134,0.3539728
att14,277.40036,96578.22,12.814972,0.27928573
att15,277.32773,96525.54,12.761684,0.10778549
att16,277.29358,96484.84,12.465981,0.09814511
att17,277.25894,96464.9,12.448719,0.19962433
att18,277.30252,96544.02,12.700078,0.2995949
att19,277.32172,96549.164,12.725889,0.3800229
att20,277.2815,96543.39,12.70887,0.47467667
att21,277.26956,96591.086,12.810514,0.42962915
att22,277.35736,96618.266,12.677022,0.41757238
att23,277.43155,96578.414,12.308301,0.22826973
att24,277.3464,96566.086,12.197634,0.41044155
att25,277.14883,96660.59,12.609406,0.46431154
att26,276.75662,96700.57,12.731777,0.7305623
att27,276.93408,96689.85,12.685313,0.7271976
att28,276.79767,96661.12,12.45171,0.67698735
att29,276.5568,96662.1,12.508643,0.74366057
att30,276.40167,96678.164,12.448355,0.61064893
att31,276.3145,96694.734,12.377402,0.59762573
att32,276.31155,96675.59,12.265747,0.6402806
att33,276.21194,96619.945,12.198908,0.56832665
att34,276.1708,96548.58,12.21543,0.45897254
att35,276.36996,96526.46,12.32566,0.59146595
att36,276.38507,96502.49,12.31499,0.5621443
att37,276.48334,96465.67,12.1588,0.37513033
att38,276.17538,96467.76,12.418523,0.37200373
att39,276.26346,96495.5,12.487657,0.3338672
att40,276.348,96530.67,12.492333,0.5497709
att41,276.3256,96521.64,12.1359,0.52044046
att42,276.45523,96522.99,12.144408,0.49066037
att43,276.44183,96509.98,12.078299,0.6133552
att44,276.26096,96531.13,12.185508,0.44285104
att45,276.26532,96513.35,12.48862,0.4907346
att46,276.30783,96530.44,12.5622635,0.39007238
att47,276.1692,96484.76,12.753795,0.38859984
att48,276.1506,96495.836,12.949874,0.3280328
att49,276.43997,96464.54,12.9487295,0.2818704
att50,276.27625,96379.59,13.233397,0.27902794
att51,276.25726,96334.37,12.904749,0.18149844
att52,276.17706,96332.21,12.497446,0.1467827
att53,276.21136,96331.68,12.698697,0.08833454
att54,275.76776,96358.06,13.063027,0.16206725
att55,275.67398,96371.43,13.185162,0.14963683
att56,275.9846,96409.53,13.031439,0.11235153
att57,275.89197,96500.32,13.22845,0.011189268
att58,275.54214,96549.41,13.193526,0.1570303
att59,275.17422,96501.51,13.0404005,0.24467094
att60,275.16397,96479.984,12.950001,0.41279316
att61,275.23657,96478.39,12.685437,0.30286446
att62,275.04672,96486.56,12.728749,0.37695485
att63,275.09662,96482.33,12.573171,0.2530841
att64,275.38348,96490.59,12.406713,0.12755913
att65,275.51395,96474.945,12.258997,-0.0067863637
att66,275.56955,96481.95,12.675004,0.01631668
att67,275.4941,96489.484,13.012887,0.12918667
att68,275.26596,96501.84,13.067688,0.16990885
att69,275.2064,96472.414,13.128827,0.33485165
att70,275.22324,96487.71,13.058639,0.18558894
att71,275.35938,96545.5,13.01434,-0.09538903
att72,275.21613,96573.75,12.903161,-0.08856143
att73,276.0368,96449.945,12.811742,0.010395799
att74,276.05536,96428.31,12.636356,-0.04834656
att75,275.3068,96523.79,12.73296,-0.15345415
att76,275.4319,96549.3,12.695924,-0.18935673
att77,275.8896,96404.766,12.731632,-0.13551067
att78,275.6811,96445.38,12.8263445,-0.045291778
att79,275.83215,96481.99,13.012272,-0.0013964231
att80,275.71664,96513.266,12.840426,0.07147183
att81,275.52567,96533.73,12.780716,0.07322976
att82,275.79257,96601.97,13.155459,0.060010586
att83,275.77,96599.16,13.451821,-0.06558113
att84,275.63846,96601.27,13.434582,-0.11187203
att85,275.81955,96626.93,13.521324,-0.0020375245
att86,275.91815,96661.18,13.716385,-0.0032923333
att87,275.78323,96667.08,13.931875,-0.04795928
att88,275.59787,96661.89,13.994292,-0.23103766
att89,275.85056,96653.83,13.750977,-0.21077237
att90,275.87625,96601.74,13.504064,-0.15625376
att91,275.89072,96557.24,13.637006,-0.14576371
att92,276.10956,96548.68,13.652134,-0.16084942
att93,276.15555,96546.82,13.533209,-0.11317629
att94,275.9493,96588.02,13.456342,-0.05005121
att95,275.89996,96627.29,13.548776,-0.109551854
att96,275.91452,96651.21,13.363962,-0.38333404
att97,276.08704,96663.44,13.23289,-0.27396476
att98,276.06635,96601.53,13.362312,-0.0838554
att99,276.22906,96580.64,13.5085945,0.02700354
att100,276.12567,96594.4,13.653754,0.03226133
att101,276.15048,96632.42,13.593942,0.03540724
att102,275.88153,96647.18,13.6452265,0.036896054
att103,275.79535,96606.96,13.741461,0.0077188862
att104,276.14273,96583.08,13.752574,0.01751723
att105,276.1411,96575.83,13.586788,-0.078240916
att106,276.40964,96481.875,13.53091,0.036127407
att107,276.8484,96448.44,13.642883,-0.16647997
att108,276.94983,96482.31,13.728285,-0.014319665
att109,276.96738,96546.95,13.899087,-0.21907714
att110,277.06912,96546.15,13.808677,-0.34523007
att111,277.11026,96529.39,13.467353,-0.3100873
att112,277.24915,96494.19,13.300866,-0.2547772
att113,277.23483,96503.06,13.424884,-0.26906198
