,0,1,2,3
att1,277.06662,96516.15,12.989582,0.103352495
att2,276.99713,96485.6,13.061253,0.23625208
att3,277.09595,96382.38,12.932115,0.21744402
att4,277.16675,96335.734,13.232137,0.27555367
att5,277.11423,96365.97,12.985589,0.34678182
att6,277.16373,96414.42,12.975359,0.26253435
att7,276.95502,96387.664,13.344357,0.37361398
att8,276.85028,96424.34,13.443921,0.33211958
att9,276.6702,96488.06,13.717877,0.3457792
att10,276.47086,96511.17,14.214644,0.26734695
att11,276.44543,96502.58,14.50382,0.3417096
att12,276.28116,96452.21,14.515362,0.32821923
att13,276.2451,96402.53,14.60246,0.38455588
att14,275.96866,96453.28,14.746136,0.44886243
att15,275.8422,96490.79,14.761447,0.4000182
att16,276.1224,96546.47,14.71376,0.48703685
att17,276.42105,96551.24,14.750062,0.42932755
att18,276.5418,96526.58,14.796984,0.5507134
att19,276.46622,96522.58,14.901163,0.5556659
att20,276.52408,96523.38,14.869341,0.47219455
att21,276.76782,96524.664,14.847405,0.5263072
att22,276.8867,96536.625,14.732915,0.48482218
att23,276.8379,96511.56,14.669708,0.5001142
att24,276.65805,96422.5,14.4066515,0.45295763
att25,276.7534,96361.65,14.046556,0.4160502
att26,276.84244,96385.26,13.7334,0.5702189
att27,276.87125,96445.42,13.792264,0.64631087
att28,276.8102,96493.04,13.60496,0.49073064
att29,276.87805,96537.516,13.39848,0.39578962
att30,276.81165,96582.71,13.564511,0.47554895
att31,276.75818,96627.586,13.6872425,0.46868056
att32,276.5861,96683.8,13.528591,0.5641571
att33,276.5371,96711.42,13.606076,0.5759791
att34,276.40997,96652.44,13.712665,0.4711103
att35,276.52872,96626.18,13.796449,0.5669493
att36,276.33517,96675.836,13.890375,0.63357604
att37,276.05508,96661.75,13.997738,0.39181802
att38,276.01608,96623.82,13.983544,0.32677907
att39,276.19208,96545.94,13.693389,0.20935224
att40,276.04623,96513.984,13.59033,0.25075546
att41,276.06448,96498.14,13.438863,0.3906222
att42,276.03485,96445.23,13.384306,0.38338292
att43,275.97696,96401.54,13.647474,0.47054613
att44,275.75076,96381.28,13.913458,0.50174654
att45,275.86478,96402.77,13.874548,0.39605406
att46,275.7309,96425.06,13.771441,0.5062682
att47,275.59442,96440.28,13.742458,0.4471719
att48,275.46304,96420.36,13.84458,0.4356735
att49,275.40643,96375.02,13.745437,0.3227265
att50,275.4126,96375.24,13.956177,0.2846158
att51,275.35437,96363.32,14.244389,0.36652213
att52,274.9963,96390.2,14.482737,0.3986092
att53,274.91284,96406.55,14.46516,0.43708998
att54,275.03754,96419.484,14.516819,0.5371233
att55,275.1757,96443.16,14.424387,0.45926094
att56,275.28107,96436.3,14.397144,0.5714357
att57,275.18228,96463.04,14.592957,0.4539374
att58,275.32108,96412.12,14.242318,0.28764486
att59,275.664,96314.4,13.342989,0.21613882
att60,275.7388,96253.586,13.108633,0.21385472
att61,275.73526,96276.266,12.888791,0.1224859
att62,276.07135,96282.44,12.925227,0.07052612
att63,275.4553,96304.875,13.624558,0.14697027
att64,275.37924,96342.52,13.6014805,0.1698726
att65,275.8822,96424.086,13.572902,0.23323832
att66,276.4215,96483.9,13.022483,0.38156494
att67,276.12595,96536.016,13.037689,0.30256954
att68,275.92618,96526.85,13.191263,0.50501055
att69,275.8645,96497.28,13.454709,0.18734504
att70,275.83542,96503.77,13.525407,0.14344943
att71,275.78055,96505.086,13.830331,0.25774363
att72,275.7181,96433.53,13.863947,0.2761493
att73,275.66083,96367.87,13.724204,0.09161163
att74,275.38626,96345.336,13.625777,0.0592934
