,0,1,2,3
att1,277.73248,96447.16,12.259225,0.3717145
att2,277.6924,96472.15,12.397405,0.3337206
att3,277.61487,96486.086,12.394698,0.21347158
att4,277.76184,96483.18,12.412373,0.47023362
att5,277.8116,96526.5,12.144505,0.3766648
att6,277.75912,96516.98,11.748612,0.3785293
att7,277.71927,96516.09,11.667667,0.34156162
att8,277.6481,96549.305,11.632313,0.40906468
att9,277.6446,96518.88,11.375416,0.38770303
att10,277.6996,96463.125,11.227877,0.49373335
att11,277.667,96418.33,11.362846,0.29491535
att12,277.5243,96422.38,11.227728,0.16190067
att13,277.60092,96390.86,11.023407,0.22128008
att14,277.2964,96325.74,11.207239,0.2694206
att15,277.25583,96310.086,11.180857,0.42079452
att16,277.3321,96357.05,11.424122,0.35308346
att17,277.31958,96418.81,11.655886,0.33778143
att18,277.2476,96429.74,11.923339,0.3834769
att19,277.33734,96457.12,12.000842,0.31247786
att20,277.41187,96464.414,12.007073,0.22609398
att21,277.61417,96494.875,12.086601,0.40926415
att22,277.5256,96544.09,12.536263,0.3903931
att23,277.49725,96561.56,12.821549,0.34032854
att24,277.48584,96543.61,12.923592,0.39155924
att25,277.29813,96548.54,13.312108,0.4863676
att26,276.88135,96528.54,13.8381195,0.49071062
att27,276.68988,96526.87,14.164882,0.5120538
att28,276.6048,96541.65,14.375556,0.42141244
att29,276.48138,96524.43,14.38444,0.5714006
att30,276.57764,96526.44,14.235458,0.5041037
att31,276.60983,96597.53,14.109482,0.4167546
att32,276.56277,96613.54,14.05414,0.4144993
att33,276.63495,96503.195,14.003798,0.5258526
att34,276.53284,96459.8,14.069115,0.47405067
att35,276.74014,96396.35,13.804621,0.2327991
att36,277.494,96310.88,13.246676,0.13987471
att37,277.5306,96330.016,13.321445,0.35465348
att38,277.38525,96331.82,13.596494,0.19464181
att39,277.25024,96303.91,13.451103,0.30210838
att40,277.2727,96327.32,12.978574,0.39942804
att41,277.41272,96359.516,13.17123,0.38329968
att42,277.44305,96386.82,13.485493,0.20866312
att43,277.25183,96336.22,13.356203,0.3132345
att44,277.15622,96305.29,13.003928,0.25392178
att45,277.3505,96340.12,12.810475,0.1597813
att46,277.44833,96371.47,12.630532,0.27162176
att47,277.4172,96418.36,12.489053,0.3501487
att48,277.2459,96521.89,12.714432,0.35184398
att49,277.10114,96537.63,12.832966,0.3330004
att50,276.95804,96497.39,12.80317,0.44761702
att51,276.95395,96452.34,12.44423,0.28610602
att52,276.95654,96444.86,12.025419,0.16331258
att53,276.90735,96458.66,12.136141,0.038645126
att54,277.06244,96460.72,11.814003,-0.05617629
att55,276.91946,96389.37,11.838069,0.059955303
att56,277.06982,96334.555,11.372534,-0.036520176
att57,276.60272,96336.54,12.690155,0.12943777
att58,276.0904,96350.34,13.150554,-0.07665917
att59,276.00952,96431.19,13.559286,0.03648373
att60,276.05124,96502.45,13.459676,0.11497531
att61,276.1659,96563.02,13.442641,0.09772364
att62,276.0689,96617.86,13.136878,0.042380136
att63,275.99973,96636.92,13.066846,0.19957864
att64,275.81573,96591.55,13.328305,0.15582678
att65,275.61453,96538.92,13.642718,0.27784082
att66,275.6568,96518.39,13.791662,0.16494645
att67,275.74844,96513.56,13.788229,0.2362134
att68,275.7215,96524.09,13.872314,0.2820396
att69,275.76978,96537.86,13.857685,0.27815115
