,0,1,2,3
att1,276.2631,96262.54,13.577553,0.26402023
att2,276.03574,96284.375,13.732235,0.34751245
att3,276.08124,96325.41,13.681372,0.2840945
att4,276.28784,96318.695,13.437431,0.20119677
att5,276.42773,96295.71,13.305167,0.1991916
att6,276.4387,96313.7,13.148499,0.1989024
att7,276.4468,96344.125,13.040763,0.39790446
att8,276.43115,96381.5,13.043202,0.24807756
att9,276.12384,96427.68,13.3001375,0.2890916
att10,275.91653,96408.63,13.415014,0.38252482
att11,276.089,96431.4,13.37542,0.39582297
att12,276.38113,96473.31,12.970076,0.36517802
att13,276.52203,96472.68,12.598873,0.19554609
att14,277.1654,96408.14,11.812888,0.21613497
att15,277.12222,96411.22,12.2540865,0.34701213
att16,276.83463,96451.35,12.650825,0.31845516
att17,276.9673,96401.42,12.80767,0.33418202
att18,276.73203,96360.664,13.050797,0.31338483
att19,276.5352,96355.336,13.318937,0.34196088
att20,276.14874,96317.58,13.490351,0.30388036
att21,275.89984,96344.74,13.540433,0.20582394
att22,275.66443,96356.234,13.598686,0.30644977
att23,275.3573,96368.125,13.575635,0.42144603
att24,275.49908,96418.47,13.414922,0.46928284
att25,275.9965,96421.15,13.274414,0.50584966
att26,276.00092,96420.04,12.992957,0.46511617
att27,275.86307,96435.375,12.764962,0.38246107
att28,275.76633,96402.99,12.877852,0.3156278
att29,275.8937,96357.01,12.710362,0.40599233
att30,275.80722,96329.01,12.9351425,0.49310702
att31,275.69653,96297.49,13.104287,0.3981241
att32,275.52347,96319.586,13.390691,0.3833106
att33,275.59088,96309.23,13.2562685,0.3250096
att34,275.69797,96351.38,12.741921,0.31458345
att35,275.7505,96426.12,12.548804,0.36135098
att36,275.81387,96473.96,12.889912,0.53255904
att37,275.7065,96506.92,12.932338,0.4936216
att38,275.43463,96511.445,12.602746,0.33068883
att39,275.51132,96461.44,12.255875,0.17577545
att40,275.58997,96447.516,12.100066,0.23010953
att41,275.74197,96479.875,12.219099,0.37291864
att42,275.64392,96505.12,12.301554,0.22529212
att43,275.5528,96559.98,12.483452,0.31992126
att44,275.4682,96632.72,12.720628,0.26156595
att45,275.5563,96578.94,12.884959,0.4458742
att46,275.40253,96489.59,12.686125,0.28432858
att47,275.198,96514.83,12.614112,0.3919493
att48,275.3743,96487.97,12.495404,0.39031783
att49,275.58487,96466.766,12.503683,0.3732792
att50,275.50534,96462.49,12.711101,0.34248582
att51,275.37634,96446.38,12.75363,0.21325338
att52,275.4116,96387.03,12.6831255,0.043889966
att53,275.39014,96399.56,12.460555,0.063708276
att54,275.76718,96428.38,12.456797,0.28029025
att55,275.3891,96484.46,12.567396,0.138267
att56,275.265,96493.234,12.770348,0.30352658
att57,275.40363,96496.875,12.806555,0.2917999
att58,275.41272,96467.68,12.523644,0.17369977
att59,275.4811,96491.445,12.493928,0.28693026
att60,275.77295,96468.42,12.180955,0.15999553
att61,276.0356,96431.34,11.821655,0.090667956
att62,275.61774,96511.38,12.154615,0.2316877
att63,275.67947,96569.02,11.9742565,0.2112016
att64,275.7536,96549.3,12.292037,0.16159543
att65,275.3339,96525.88,12.863707,0.17514946
att66,275.27783,96528.27,13.179184,-0.093317136
att67,275.41635,96560.36,13.21061,-0.04318676
att68,275.2414,96610.25,13.144384,-0.041355498
att69,275.1043,96659.46,13.110923,0.10624828
att70,275.13498,96665.68,13.045686,0.24866071
att71,275.07678,96617.16,12.560047,0.03609127
att72,275.2686,96606.48,12.633831,0.06486979
att73,275.01245,96658.51,13.120135,0.048997365
att74,274.7128,96654.125,13.411039,-0.17158188
att75,275.10822,96590.29,13.1769495,0.12082003
att76,275.2408,96585.79,13.137152,0.063720666
att77,275.69736,96548.77,13.000684,-0.17023578
