,0,1,2,3
att1,276.91742,96376.68,13.6102085,0.17839521
att2,276.93243,96345.914,13.399742,0.31938943
att3,277.0786,96311.11,13.089429,0.3350697
att4,277.19174,96340.68,13.150499,0.22143285
att5,277.1899,96385.19,13.2869,0.2255851
att6,277.10492,96441.46,13.397492,0.39292723
att7,276.96225,96508.03,13.335166,0.40926382
att8,277.01813,96519.52,12.986504,0.29308125
att9,277.0546,96523.85,12.950645,0.2546385
att10,277.01364,96522.0,13.000871,0.2997185
att11,277.27368,96418.13,12.643882,0.21218526
att12,276.86224,96373.586,12.51689,0.3401942
att13,276.49185,96385.01,12.634148,0.46834671
att14,276.6389,96380.95,12.246746,0.2963233
att15,276.71008,96429.1,12.273593,0.38727364
att16,276.6991,96434.85,12.0806055,0.46986318
att17,276.89682,96408.234,11.595926,0.4001409
att18,277.22635,96387.12,11.706826,0.53796333
att19,277.12094,96406.43,11.989418,0.5742335
att20,277.28857,96387.24,12.056824,0.26273695
att21,276.99185,96429.25,12.424554,0.33513612
att22,276.58054,96494.48,12.851968,0.25127956
att23,276.9414,96483.84,12.600498,0.31928086
att24,277.07645,96411.95,12.263049,0.34113306
att25,276.83463,96389.06,12.295008,0.21709292
att26,276.67328,96408.516,12.047531,0.2658895
att27,276.02197,96482.99,12.615085,0.4616991
att28,275.86426,96485.41,13.272466,0.39899823
att29,275.79572,96412.06,13.43122,0.3708363
att30,275.78445,96368.18,13.614154,0.3090832
att31,275.64465,96347.984,13.474339,0.56709015
att32,275.38635,96368.555,13.491906,0.48860553
att33,275.23648,96392.67,13.590019,0.42774075
att34,275.60046,96460.016,13.569038,0.4316354
att35,275.5519,96483.625,13.524643,0.20506573
att36,275.45093,96445.586,13.294251,0.21133569
att37,275.35513,96413.086,13.25438,0.25143948
att38,275.24777,96447.21,13.605433,0.20305951
att39,275.0556,96436.07,13.732699,0.15800153
att40,275.02432,96373.58,13.611642,0.26340675
att41,275.1899,96373.945,13.468997,0.16225283
att42,275.45642,96374.67,13.372855,0.18539779
att43,275.61127,96399.02,13.136252,0.033375245
att44,275.6629,96433.06,13.17204,0.09087247
att45,275.74387,96461.32,13.323537,0.36664107
att46,275.77972,96416.805,13.268951,0.25640905
att47,275.79227,96345.484,13.106179,0.31646886
att48,275.5327,96369.5,13.430319,0.4320491
att49,275.28638,96385.984,13.441156,0.25652984
att50,275.15662,96399.57,13.647052,0.2814604
att51,275.19296,96391.85,13.691134,0.1980261
att52,275.48453,96389.11,13.3406105,0.13946447
att53,275.80646,96468.836,13.174126,0.09525312
att54,275.6187,96526.39,13.167276,0.3750581
att55,275.3908,96519.9,13.076592,0.38544726
att56,275.50943,96482.195,13.052015,0.24341814
att57,275.50858,96507.1,13.172679,0.2298707
att58,275.35657,96483.27,13.23144,0.1472585
att59,275.2436,96415.25,13.14534,0.28831536
att60,275.18594,96421.555,13.207726,0.34067085
att61,275.38675,96455.02,13.081419,0.28680763
att62,275.2256,96483.734,12.823452,0.26369125
att63,274.86288,96469.01,12.692224,0.37864268
att64,274.97644,96427.516,12.621315,0.14809752
