,0,1,2,3
att1,278.00714,96530.914,11.373313,0.34854543
att2,277.94226,96483.04,10.782074,0.2060836
att3,277.57333,96514.14,11.169379,0.29361606
att4,277.33987,96565.82,11.987193,0.23295964
att5,277.15787,96570.9,12.412066,0.40674952
att6,277.06097,96558.51,12.4343,0.43102285
att7,276.99835,96541.54,12.299316,0.4030824
att8,276.69604,96540.01,12.215586,0.44401455
att9,276.64725,96548.68,12.334361,0.2999668
att10,276.7224,96545.586,12.144978,0.43080392
att11,276.9344,96535.4,12.015587,0.37286264
att12,277.00015,96511.11,11.750261,0.3436169
att13,277.03,96522.97,11.704118,0.41350663
att14,277.02682,96564.7,11.993923,0.5276362
att15,276.8683,96607.03,11.959607,0.49118638
att16,276.98065,96638.414,11.723702,0.606543
att17,277.09424,96691.87,11.595141,0.4605585
att18,277.03763,96752.77,11.523174,0.3695511
att19,276.92816,96756.1,11.420728,0.35956243
att20,276.793,96703.25,11.331151,0.33074117
att21,276.56644,96635.16,11.261414,0.30794716
att22,276.58878,96596.555,11.286518,0.28427806
att23,276.67688,96587.12,11.223464,0.40688744
att24,276.7337,96602.47,11.094795,0.42672378
att25,276.61816,96642.414,10.928295,0.4696966
att26,276.61395,96642.33,10.935683,0.40480027
att27,276.5428,96638.64,11.051902,0.54042053
att28,276.48453,96633.086,11.186629,0.4234808
att29,276.43353,96619.625,11.282016,0.41599417
att30,276.21722,96591.16,11.309394,0.39992964
att31,276.21884,96549.53,11.192244,0.2900876
att32,276.0869,96583.32,11.214892,0.20981933
att33,276.21713,96628.01,11.221711,0.29359975
att34,276.23892,96630.17,11.095818,0.45175314
att35,276.14343,96604.77,11.22286,0.3993094
att36,275.80258,96646.516,11.457306,0.3958524
att37,275.55124,96726.11,11.769974,0.3914309
att38,275.67627,96717.03,11.873954,0.42748094
att39,275.7524,96666.43,11.856008,0.33933038
att40,275.62988,96655.59,11.906571,0.39560026
att41,275.69623,96651.984,12.2547865,0.4738166
att42,275.56952,96641.54,12.419113,0.35050043
att43,275.29074,96637.38,12.64762,0.46602938
att44,275.08023,96610.664,12.778374,0.49265134
att45,274.9146,96599.6,12.951582,0.5996718
att46,274.92667,96572.7,13.209232,0.35462156
att47,274.89508,96563.8,13.362501,0.33547965
att48,274.91385,96495.914,13.424254,0.33358642
att49,274.80237,96425.61,13.335267,0.3385646
att50,274.88046,96415.63,13.165638,0.32296908
att51,274.61798,96459.32,13.279542,0.24633004
att52,274.723,96467.33,13.094823,0.19292721
att53,275.03433,96415.76,12.673251,0.141879
att54,274.85727,96382.984,12.646122,0.029452274
att55,274.74982,96377.0,12.508162,0.05633756
att56,275.0087,96340.766,12.244092,0.08193126
att57,274.91602,96342.87,12.199773,0.2497776
