,0,1,2,3
att1,276.60165,96456.484,13.467674,0.17535882
att2,276.28595,96397.664,13.759346,0.06625584
att3,276.25214,96422.83,13.955086,0.04907455
att4,276.4221,96347.055,13.798298,0.16618648
att5,276.4565,96304.26,13.362217,0.09525603
att6,276.3085,96305.97,13.204167,0.093588404
att7,276.57645,96327.68,12.877014,0.2077798
att8,277.01636,96359.195,12.941862,0.10697031
att9,277.34634,96411.766,12.935972,-0.007016564
att10,277.33984,96490.27,13.060175,0.03014182
att11,277.53046,96498.195,12.55247,0.08884729
att12,277.41434,96564.99,12.761144,0.13040921
att13,277.3221,96519.016,12.963627,0.019186638
att14,277.38177,96458.03,12.850995,0.2547461
att15,277.52316,96350.55,12.524271,0.095273286
att16,277.64844,96334.34,12.458289,0.22246301
att17,277.6725,96407.33,12.799355,0.26248017
att18,277.4925,96488.62,12.828877,0.33803284
att19,277.52032,96568.29,12.978856,0.45116347
att20,277.63174,96563.484,13.184781,0.4072308
att21,277.61862,96579.49,13.129963,0.4089545
att22,277.50775,96604.33,12.936808,0.259435
att23,277.43546,96604.87,13.028405,0.28912768
att24,277.7949,96563.73,12.656107,0.043536976
att25,277.61072,96557.62,12.546917,0.055800103
att26,277.25626,96597.016,12.792003,0.2765307
att27,277.01202,96593.5,12.756472,0.12548906
att28,276.8672,96537.445,12.568684,0.17202546
att29,276.7986,96521.36,12.377403,0.22219665
att30,276.43814,96501.42,12.254736,0.2752711
att31,276.27927,96530.445,12.376304,0.3100467
att32,276.29144,96579.44,12.2954855,0.34696555
att33,276.3035,96602.51,12.267002,0.37736505
att34,276.14062,96609.5,12.2571335,0.29467967
att35,275.98215,96572.42,11.95051,0.25194833
att36,275.98767,96584.07,11.830731,0.285842
att37,275.8854,96624.48,12.044723,0.40664873
att38,275.9161,96655.34,12.325217,0.507675
att39,275.86948,96688.03,12.25306,0.44123313
att40,275.9521,96672.67,12.141324,0.47046524
att41,275.78473,96594.46,12.356183,0.41605413
att42,275.32925,96549.69,12.611643,0.40458244
att43,274.90567,96473.65,12.643214,0.5746795
att44,274.94528,96412.484,12.857413,0.5743845
att45,274.7365,96455.66,13.129643,0.49030545
att46,275.25662,96499.66,13.038807,0.41214147
att47,275.40277,96571.3,12.718513,0.43221763
att48,275.9084,96625.39,12.214707,0.47340947
att49,276.23657,96669.67,12.001685,0.42121673
att50,276.12582,96661.87,12.176446,0.25274464
att51,275.66467,96604.125,12.637432,0.3509646
att52,275.59164,96538.266,12.423493,0.43154874
att53,275.60266,96537.37,12.156098,0.21155259
att54,275.83386,96523.15,11.837876,0.17176943
att55,275.70486,96547.06,11.794025,0.18122253
att56,275.42862,96544.4,11.764664,0.20273222
att57,275.4294,96542.36,11.782,0.33399835
att58,275.3888,96580.56,11.784104,0.121801086
att59,275.2941,96592.29,11.806405,0.20707956
att60,275.303,96559.36,12.009275,0.2807392
att61,275.4618,96529.5,11.993657,0.2307363
att62,275.357,96516.73,11.992485,0.068051875
att63,275.42917,96510.84,12.10744,0.15557091
att64,275.1501,96529.72,12.228186,0.11976233
att65,275.01944,96561.81,12.495823,0.034539722
att66,275.30942,96599.38,12.651449,0.11136517
att67,275.41553,96625.266,12.715149,0.059662435
att68,275.55307,96673.48,12.637886,-0.034720294
att69,275.4966,96704.93,12.288191,-0.043557733
att70,275.47998,96729.42,12.652376,-0.0046422603
att71,275.21567,96711.66,12.967914,0.13272274
att72,275.04068,96670.18,12.863864,0.094780326
att73,274.85455,96657.2,13.110043,0.0046823346
att74,274.72113,96655.3,13.254504,-0.029136159
att75,275.0653,96653.78,13.428656,0.052926235
att76,274.93655,96576.43,13.490956,0.1643685
att77,275.27344,96491.13,13.219029,0.0105632795
att78,275.49988,96469.67,12.799315,-0.10659052
att79,275.27374,96451.44,13.018558,-0.103239015
att80,275.09314,96417.16,13.185324,-0.017675009
att81,274.7617,96462.06,13.202819,-0.08318204
att82,274.54153,96487.734,13.175585,-0.18226868
att83,274.90253,96493.19,13.131206,-0.20466697
att84,275.0091,96528.9,13.201882,-0.14322945
att85,274.9764,96527.35,13.272466,-0.20348823
att86,275.02472,96493.47,13.446995,-0.07786612
att87,275.27225,96493.13,13.656615,-0.086715005
att88,275.14218,96492.03,13.697341,-0.30922353
att89,275.17075,96454.97,13.682732,-0.1717427
att90,274.95572,96421.3,13.621669,-0.26565045
att91,275.18567,96388.445,13.450887,-0.3304318
att92,275.2871,96443.68,13.262317,-0.16733241
att93,275.3555,96511.41,13.308684,-0.16330554
att94,275.54272,96591.234,13.48714,-0.026808241
att95,275.46133,96662.4,13.635245,-0.1683912
att96,275.33633,96664.92,13.583702,-0.15547362
att97,275.4176,96698.27,13.73785,-0.106871106
att98,275.37576,96673.984,13.854094,-0.115457505
att99,275.36374,96630.03,14.06507,-0.25923306
att100,275.24472,96598.97,14.123182,-0.33887452
att101,275.22925,96536.72,13.883659,-0.1684939
att102,275.38004,96492.34,13.619886,-0.33372706
att103,275.51837,96450.81,13.488815,-0.36887833
att104,275.56735,96461.42,13.430483,-0.40350825
att105,275.4076,96454.305,13.3723345,-0.6119157
att106,275.38257,96404.734,13.399699,-0.49470964
att107,275.44754,96348.07,13.362815,-0.37486193
att108,275.78455,96355.38,13.287139,-0.4776692
att109,276.03958,96451.43,13.254702,-0.40059352
att110,275.8049,96481.88,13.466232,-0.4389706
att111,275.46017,96519.77,13.535941,-0.43061623
att112,275.62354,96538.73,13.254595,-0.32103202
att113,275.64865,96568.04,13.094554,-0.3882675
att114,275.81305,96565.64,13.202926,-0.2513563
att115,275.95282,96542.84,13.382567,-0.24686539
att116,276.06412,96513.484,13.466904,-0.08712878
