,0,1,2,3
att1,276.34686,96449.2,12.964362,0.27894145
att2,276.69928,96488.74,12.9614725,0.33383667
att3,276.3937,96507.1,12.952625,0.3204062
att4,276.53183,96454.03,12.444131,0.2385495
att5,276.55856,96473.914,12.29995,0.33981827
att6,276.4361,96472.05,12.689407,0.4369522
att7,276.3395,96416.58,12.842906,0.37007433
att8,276.71475,96376.96,12.716492,0.2478863
att9,276.34467,96356.59,12.743876,0.045710746
att10,276.27002,96298.555,12.736165,0.06327918
att11,276.3027,96310.016,12.746358,0.16191517
att12,276.6337,96360.44,12.813377,0.10069075
att13,276.85776,96375.85,12.514464,0.14140621
att14,276.91406,96434.36,12.419243,0.08841329
att15,277.13928,96502.52,12.468108,0.25597432
att16,277.12906,96545.055,12.49,0.16066116
att17,277.10016,96549.945,12.375383,0.13119967
att18,277.23444,96553.64,12.222879,0.19213483
att19,277.1618,96536.06,12.172126,0.20655936
att20,276.76953,96586.625,12.550049,0.2638194
att21,276.46234,96656.734,12.463894,0.23004384
att22,276.57217,96683.73,12.316485,0.22774641
att23,276.63983,96683.23,12.289537,0.31284255
att24,276.52512,96652.46,12.2205,0.25923997
att25,276.41666,96622.62,12.140243,0.4259028
att26,276.44046,96612.86,12.087613,0.5132991
att27,276.54715,96622.99,12.223156,0.39309084
att28,276.6144,96639.08,12.029201,0.24783409
att29,276.6982,96671.02,11.948063,0.16494781
att30,276.82715,96623.836,12.164332,0.11683327
att31,277.00803,96535.36,12.120724,0.23257238
att32,276.85474,96510.97,12.159071,0.10517995
att33,276.61847,96538.195,12.3197565,0.1924068
att34,276.35513,96586.92,12.356278,0.27900228
att35,276.3995,96602.375,12.356204,0.35002008
att36,276.5507,96596.055,12.31207,0.35106084
att37,275.99142,96595.24,12.252719,0.45547953
att38,275.6509,96586.54,12.234401,0.30737934
att39,275.81827,96561.68,11.913719,0.22932468
att40,275.6474,96549.78,11.901066,0.2089423
att41,275.3386,96557.414,11.932782,0.3001115
att42,275.53644,96568.79,12.147837,0.057545934
att43,275.64484,96566.125,12.149719,0.22317944
att44,275.69202,96552.74,12.165983,0.17136434
att45,275.55444,96557.39,12.174656,0.09365791
att46,275.54175,96530.98,12.206837,0.12026462
att47,275.45605,96455.984,12.373975,0.038147792
att48,275.25436,96419.68,12.612762,0.12654984
att49,275.151,96431.44,12.658188,0.2665821
att50,274.78278,96462.13,12.804866,0.16720326
att51,274.6432,96486.25,12.733718,0.17668007
att52,274.84595,96521.73,12.718647,0.21608642
att53,275.00586,96508.35,12.839609,0.34474987
att54,275.26505,96563.67,13.005112,0.33333147
att55,275.18637,96547.1,13.46958,0.3337854
att56,275.08282,96501.93,13.725644,0.39332682
att57,275.05707,96467.44,13.699528,0.28151625
att58,275.00812,96447.09,13.686818,0.17552328
att59,275.07407,96441.43,13.563145,0.16594276
att60,275.24606,96394.766,13.417543,0.25020462
att61,274.8496,96382.21,13.487967,0.1524629
att62,274.7936,96407.88,13.760414,0.09637287
att63,275.00095,96413.85,13.827578,0.05200165
att64,274.77936,96386.64,13.670547,0.07269323
att65,274.8527,96326.95,13.229332,-0.10336456
att66,275.20737,96307.06,12.425473,0.03444546
att67,274.89273,96397.53,12.825857,-0.004101839
att68,274.46298,96472.06,13.556355,0.19127858
att69,274.43356,96460.64,13.510806,0.10000292
att70,274.5662,96440.37,13.540973,0.04362548
att71,274.76233,96377.96,13.000618,-0.10866536
att72,275.05457,96366.21,12.864616,-0.1765885
att73,274.87497,96427.89,13.083827,-0.105851196
att74,274.48322,96526.83,13.395611,-0.20773761
att75,274.2014,96575.914,13.688549,-0.20649137
att76,274.31015,96546.63,13.961273,-0.0638069
att77,274.51883,96497.92,14.325619,0.07728883
att78,274.75433,96542.0,14.203814,-0.09694912
att79,274.82806,96628.1,14.028268,-0.17668755
att80,274.79846,96667.05,14.0383625,-0.2858076
att81,274.8256,96640.0,14.009168,-0.14042214
att82,274.51865,96622.97,14.041206,-0.10436814
att83,274.66623,96650.766,14.089559,-0.11120886
att84,274.8693,96630.805,13.950078,-0.030205272
att85,275.14203,96565.96,13.877081,-0.11604342
att86,275.22235,96566.0,13.86244,-0.33791265
att87,275.4844,96552.85,13.656787,-0.27554116
att88,275.49896,96603.414,13.46368,-0.17867193
att89,275.81573,96656.05,13.413169,-0.2336785
att90,275.85318,96680.87,13.533518,0.009813794
