,0,1,2,3
att1,277.5877,96593.42,12.586862,0.29035014
att2,277.6174,96492.266,12.534339,0.27379194
att3,277.34402,96507.305,12.8188095,0.32513422
att4,277.3144,96521.055,12.629239,0.474887
att5,277.22348,96498.88,12.497268,0.42517695
att6,277.13132,96467.62,12.5353775,0.46157452
att7,277.0504,96451.01,12.868318,0.43304333
att8,276.8812,96470.03,13.160736,0.31934568
att9,276.9633,96505.13,13.44367,0.4269275
att10,276.80124,96509.64,13.538168,0.38109982
att11,276.79456,96471.6,13.535609,0.4018809
att12,276.67365,96439.2,13.5822735,0.36584404
att13,276.59164,96408.99,13.594884,0.3287701
att14,276.5007,96364.01,13.384031,0.36844283
att15,276.47134,96302.21,12.9676,0.27715763
att16,276.75845,96243.69,12.580369,0.2098868
att17,276.5917,96205.67,12.210447,0.11066403
att18,276.50262,96223.1,12.140117,0.015325398
att19,276.5029,96292.02,12.404975,0.12219484
att20,276.708,96337.96,12.689856,0.15016665
att21,276.6912,96340.766,12.618933,0.23159061
att22,276.6112,96363.24,12.706737,0.20638049
att23,276.76514,96385.2,13.042872,0.404903
att24,276.79575,96382.05,12.979489,0.32383674
att25,276.69305,96458.93,12.844187,0.14954829
att26,276.54025,96440.34,12.750293,0.27343723
att27,276.6122,96432.734,12.597042,0.45962626
att28,276.85764,96361.89,12.689525,0.3023536
att29,276.5376,96329.195,12.387175,0.434592
att30,275.95673,96374.9,12.622601,0.4235969
att31,275.993,96409.914,12.400953,0.25189596
att32,275.75858,96462.77,12.453136,0.21139076
att33,275.9151,96386.41,12.371094,0.5024526
att34,276.248,96332.48,11.957376,0.3122775
att35,276.17456,96379.19,12.059742,0.24926862
att36,276.22342,96383.086,12.356733,0.27082577
att37,276.12723,96412.88,12.61464,0.38474607
att38,275.97064,96453.48,12.598749,0.29113597
att39,276.08926,96532.016,12.392012,0.20345894
att40,276.19504,96569.586,12.151076,0.33778077
att41,276.0479,96628.555,12.39638,0.42203966
att42,275.7565,96643.586,12.679716,0.52573335
att43,275.5979,96630.15,12.720797,0.43731076
att44,275.6549,96609.69,12.719921,0.42634526
att45,275.478,96590.086,12.730064,0.4323916
att46,275.521,96580.68,12.6980505,0.41401178
att47,275.55222,96609.35,12.804237,0.4670454
att48,275.4591,96645.3,12.750037,0.49693227
att49,275.82312,96635.27,12.399573,0.26249433
att50,276.47244,96665.29,11.888347,0.31474987
att51,276.57663,96739.04,11.711599,0.0657707
att52,276.66302,96634.766,11.738101,0.22972323
att53,276.45026,96534.56,12.202212,0.44325534
att54,276.18884,96467.1,12.630777,0.23675345
att55,276.29327,96385.76,12.706339,0.34244496
att56,275.92914,96371.32,12.784972,0.35242787
att57,275.95288,96406.37,12.779645,0.30774936
att58,275.93793,96434.35,12.436235,0.2202465
att59,276.021,96454.95,12.516641,0.15717104
att60,275.86877,96447.09,12.500598,0.26232228
att61,275.62,96456.305,12.654952,0.2018732
att62,275.42984,96436.34,12.5284605,0.02518174
att63,275.7134,96401.0,12.341272,-0.055367026
att64,275.66238,96420.02,12.577502,-0.026800692
att65,275.52545,96493.516,12.502751,-0.15955758
att66,275.30136,96532.86,12.702595,0.033204053
att67,275.23218,96532.34,12.906619,0.115374796
att68,275.167,96537.05,12.879025,0.1862939
att69,275.27164,96496.62,12.573636,0.24674754
att70,275.02377,96474.63,12.344264,0.22898602
att71,274.95874,96513.766,12.552511,-0.056982297
att72,274.96994,96539.93,12.927996,-0.03411049
att73,275.0908,96506.99,13.248127,-0.019968413
att74,275.20694,96431.52,13.433884,0.13646518
att75,275.12677,96431.41,13.727448,0.10949303
att76,275.00467,96425.62,13.983049,0.005042844
att77,275.15652,96405.01,14.098284,-0.08872325
att78,274.94443,96417.9,14.030702,-0.10054023
att79,274.84866,96364.664,13.777214,-0.08217543
att80,274.8291,96352.84,13.771771,-0.11179692
