,0,1,2,3
att1,276.47385,96509.86,13.240415,0.18130806
att2,276.4091,96496.55,13.192849,-0.09157143
att3,276.356,96519.1,13.167881,0.09718051
att4,276.48624,96548.01,13.087842,0.10927812
att5,276.58786,96575.57,13.084647,0.15230794
att6,276.5269,96550.805,12.766296,0.34549382
att7,276.5063,96561.336,12.456364,0.12077932
att8,276.4564,96562.65,12.316593,0.259905
att9,276.62073,96463.85,12.231912,0.37433416
att10,276.74936,96375.94,12.01238,0.3350915
att11,276.5247,96359.766,11.930163,0.32965383
att12,276.68613,96334.516,11.615148,0.26113126
att13,276.7053,96269.8,11.4548645,0.30775887
att14,276.66522,96315.266,11.314211,0.31663162
att15,276.75714,96371.14,11.226756,0.3120834
att16,276.73355,96430.54,11.24501,0.36719486
att17,276.97626,96484.29,11.404407,0.3055842
att18,277.26993,96504.71,11.215612,0.27853507
att19,277.3591,96532.69,11.195486,0.44572034
att20,277.19913,96595.19,11.322712,0.34411353
att21,277.144,96531.734,11.67797,0.16971567
att22,277.14142,96462.32,12.1452875,0.124482594
att23,276.4696,96438.04,12.651128,0.056341395
att24,276.1586,96392.45,12.82188,0.04987643
att25,276.1064,96381.62,12.964022,-0.025183424
att26,276.22052,96390.71,13.054855,0.042214684
att27,275.89682,96453.58,13.275443,0.092303135
att28,275.70605,96525.56,13.434817,0.19470233
att29,275.81848,96551.39,13.531314,0.32868156
att30,275.98346,96536.15,13.18801,0.2209409
att31,275.77954,96583.984,13.065485,0.35747623
att32,275.7755,96539.82,13.159461,0.22158581
att33,276.10675,96470.4,13.107576,0.26217002
att34,276.62192,96403.98,12.411342,0.34122247
att35,276.87933,96435.48,11.923155,0.49951878
att36,276.62857,96509.39,12.082247,0.15431994
att37,276.53033,96512.02,12.281492,0.13097522
att38,276.55533,96451.36,12.25991,0.20497738
att39,276.6342,96434.19,12.234854,0.39954636
att40,276.57092,96435.76,12.3071375,0.44051
att41,276.3494,96438.11,12.49145,0.20600554
att42,276.1145,96434.31,12.815947,0.18964055
att43,275.91144,96409.57,12.992953,0.28784442
att44,275.7765,96381.53,12.996301,0.21067087
att45,275.61966,96331.14,12.9176445,0.15701021
att46,275.77902,96299.75,12.641775,0.10085149
att47,275.71698,96353.31,12.307976,0.15394984
att48,275.79007,96376.305,12.179996,0.28894305
att49,275.9856,96385.92,12.162587,0.5296347
att50,275.85242,96401.02,12.150452,0.47066513
att51,275.82135,96432.586,12.184279,0.37661722
att52,275.81586,96418.14,12.300829,0.67912585
att53,275.58054,96431.85,12.517128,0.44177052
att54,275.4813,96459.59,12.557005,0.2737462
att55,275.4837,96420.88,12.539501,0.218633
att56,275.5516,96397.2,12.592888,0.16948745
att57,275.74985,96507.13,12.533802,0.15576394
att58,276.22723,96586.05,12.173432,0.24095994
att59,276.47104,96564.98,11.838179,0.15048525
att60,276.29187,96535.85,11.79426,0.09325249
att61,276.17368,96625.69,11.90016,0.16860747
att62,276.12268,96684.484,12.159663,0.1246147
att63,275.8113,96667.94,12.267466,0.21283217
att64,275.69434,96612.164,12.178292,0.13477562
att65,275.74423,96563.88,12.119454,0.29132807
att66,275.78323,96521.76,12.024952,0.23139371
att67,275.82547,96503.234,11.948234,0.11956341
att68,275.67056,96532.086,11.418666,0.031103509
att69,275.50555,96588.336,11.387964,0.14818409
att70,275.35437,96584.17,11.578837,0.099945895
