,0,1,2,3
att1,276.6407,96511.266,12.429441,0.12519026
att2,276.61533,96547.11,12.538857,0.11658687
att3,276.6952,96550.43,12.454205,0.13871887
att4,276.8078,96572.68,12.148229,0.15553853
att5,276.78757,96579.13,12.107781,0.16189799
att6,276.83606,96583.3,12.319813,0.14669722
att7,276.48404,96599.22,12.667828,0.26895466
att8,276.11642,96644.82,12.988919,0.28755614
att9,276.22723,96648.95,12.932259,0.3659095
att10,276.3767,96616.76,12.7071,0.5017895
att11,276.37988,96601.2,12.663917,0.2957659
att12,276.20352,96568.44,12.368971,0.35483173
att13,276.363,96467.3,12.324831,0.3953805
att14,276.30997,96397.82,12.584723,0.3651372
att15,276.3765,96386.35,12.864096,0.34323546
att16,276.21664,96423.71,13.026335,0.30116537
att17,276.07187,96450.13,13.063362,0.36003244
att18,276.26718,96437.3,13.034448,0.43339893
att19,276.27762,96406.79,12.758906,0.37844858
att20,276.06845,96445.06,12.614283,0.27422768
att21,276.02716,96484.86,12.607667,0.3878788
att22,276.18112,96453.26,12.743395,0.38414016
att23,275.99338,96440.54,12.823002,0.5100733
att24,275.719,96454.88,12.721422,0.3672993
att25,275.6323,96564.37,12.889452,0.43038735
att26,275.4099,96569.39,13.00186,0.55374134
att27,275.3485,96594.61,13.052339,0.678404
att28,275.32416,96582.664,13.207954,0.6237737
att29,275.39908,96551.03,13.037503,0.55617684
att30,275.4396,96569.75,12.94321,0.5689261
att31,275.56372,96557.63,12.692274,0.59364635
att32,275.73798,96524.79,12.386181,0.58076787
att33,275.78882,96534.914,12.289234,0.48128623
att34,275.81934,96532.01,12.169388,0.45794713
att35,275.61276,96532.73,12.251632,0.521152
att36,275.33594,96527.61,12.634398,0.686738
att37,275.11884,96552.195,12.718886,0.54912966
att38,275.077,96542.984,12.666864,0.5177998
att39,275.18472,96493.26,12.425641,0.45576966
att40,275.24274,96504.84,12.396792,0.5258867
att41,275.2993,96590.41,12.521401,0.54862255
att42,275.25467,96660.92,12.66265,0.4176447
att43,275.1557,96646.47,12.568701,0.4816972
att44,275.16614,96594.164,12.563997,0.61621106
att45,275.21805,96600.59,12.895382,0.65172285
att46,275.23868,96669.15,13.020114,0.55393374
att47,275.13693,96694.8,12.830333,0.5766506
att48,275.26053,96694.85,12.765753,0.63539755
att49,275.47192,96679.766,12.614539,0.5162463
att50,275.71417,96651.02,12.596836,0.3882335
att51,275.69153,96620.07,12.534558,0.42213768
att52,275.52002,96559.41,12.307027,0.20543386
att53,275.17703,96491.94,12.278139,0.23682377
att54,275.09503,96417.64,12.434258,0.3923517
att55,275.14908,96351.984,12.323759,0.39261797
att56,275.23996,96343.586,12.17795,0.5304024
att57,275.08728,96364.3,12.212836,0.3045815
att58,274.7878,96356.07,12.392397,0.26370072
att59,274.4937,96355.32,12.504225,0.1423812
att60,274.9323,96240.85,12.58407,0.11094844
att61,275.13626,96225.445,12.566711,0.008618952
att62,274.8453,96291.47,12.7414,-0.013773606
att63,274.81284,96284.04,12.7204895,0.08169622
att64,274.96243,96307.984,12.723837,0.108007155
att65,274.8857,96346.46,12.791646,0.02939601
att66,274.89288,96389.97,12.736491,0.14753264
