,0,1,2,3
att1,276.35037,96482.4,13.146336,0.21871486
att2,276.50232,96519.94,12.880074,0.13622448
att3,276.6549,96570.086,12.780355,0.26589534
att4,276.64127,96608.8,12.538933,0.29407552
att5,276.5362,96628.055,11.994259,0.25909555
att6,276.57217,96659.91,11.813584,0.3149022
att7,276.68378,96692.9,11.791503,0.31711194
att8,276.73825,96692.21,11.928835,0.53837436
att9,276.79898,96642.66,11.816016,0.36555097
att10,276.8727,96624.59,11.679933,0.31514466
att11,276.61377,96632.13,12.023322,0.39742967
att12,276.4061,96659.24,12.448688,0.39927527
att13,276.11905,96645.445,12.610862,0.3671738
att14,276.0673,96630.25,12.373759,0.2574144
att15,276.0137,96613.31,12.303684,0.27980992
att16,275.91547,96565.82,12.348454,0.3746331
att17,275.8034,96497.91,12.496841,0.34950927
att18,275.6963,96424.266,12.512532,0.3447498
att19,275.70117,96411.21,12.283522,0.38775706
att20,275.72498,96392.76,12.256646,0.39699766
att21,276.25925,96372.0,12.115842,0.3465878
att22,276.31052,96412.91,12.125626,0.27914494
att23,276.04504,96455.91,12.331063,0.34339523
att24,276.0329,96465.57,12.431446,0.29688564
att25,276.153,96491.31,12.521034,0.33324397
att26,276.20844,96480.45,12.614947,0.33769235
att27,276.34604,96417.63,12.676007,0.22830395
att28,276.29703,96343.08,12.555339,0.26001143
att29,276.1162,96372.375,12.711364,0.3906984
att30,275.7832,96394.83,12.9333935,0.37363118
att31,275.66858,96386.055,12.976769,0.2936684
att32,275.75867,96421.77,12.857603,0.2835941
att33,275.99457,96454.13,12.458798,0.3970826
att34,276.297,96400.24,12.003949,0.25395644
att35,276.2444,96390.1,11.883107,0.2922957
att36,276.0243,96434.73,11.849612,0.12218243
att37,275.8163,96476.68,12.047745,0.173476
att38,275.8102,96467.8,12.16887,0.2971177
att39,275.5506,96470.305,12.27525,0.3437872
att40,275.45477,96420.65,12.35874,0.38986015
att41,275.29895,96362.45,12.14572,0.21255338
att42,275.48056,96302.11,11.673442,0.3635332
