,dists,predIds,skips,coretime,p_cals,predYears
1981,"[29.99515061579219, 30.670256554823048, 32.03437577684236, 33.19151760299418, 33.48571535561504, 33.853976364086186, 34.55289031112286, 35.35363329454214, 35.79276556670613, 36.39683330512026]
","[19, 11, 6, 0, 17, 25, 14, 4, 27, 16]
","0
","0.8211829662322998
","0
","[1970, 1962, 1957, 1951, 1968, 1976, 1965, 1955, 1978, 1967]
"
1982,"[25.42421083212588, 26.249234851779175, 29.10147046217744, 29.11403505026412, 29.543673079932333, 31.12968458388676, 31.609134090265258, 32.18976850105785, 32.21810341791034, 32.53787530535336]
","[25, 15, 17, 18, 3, 11, 23, 1, 7, 22]
","0
","0.8319270610809326
","0
","[1977, 1967, 1969, 1970, 1955, 1963, 1975, 1953, 1959, 1974]
"
1983,"[26.332811944546144, 27.76689222246935, 29.322687516157195, 29.416022205948433, 31.121416555406874, 31.40853533118118, 31.757589532240882, 31.88547134838249, 32.37618896636963, 32.47216392925059]
","[22, 11, 27, 25, 13, 26, 1, 19, 2, 5]
","0
","0.8219120502471924
","0
","[1975, 1964, 1980, 1978, 1966, 1979, 1954, 1972, 1955, 1958]
"
1984,"[32.30781160748694, 33.13055037457346, 33.21520909680827, 33.44245921741592, 33.45937713391283, 34.198241197288105, 34.684470429907435, 35.73178436271183, 36.039087577592966, 36.37727593755081]
","[9, 13, 18, 23, 8, 4, 20, 6, 15, 7]
","0
","0.8366179466247559
","0
","[1963, 1967, 1972, 1977, 1962, 1958, 1974, 1960, 1969, 1961]
"
1985,"[25.259863714308896, 26.36764552580209, 27.789351381334715, 28.022327171310998, 28.148034662480484, 28.31230730174795, 28.486364398920475, 28.798203520456077, 29.065756083766452, 29.433803145305525]
","[22, 12, 14, 19, 0, 1, 13, 27, 8, 5]
","0
","0.7867200374603271
","0
","[1977, 1967, 1969, 1974, 1955, 1956, 1968, 1982, 1963, 1960]
"
1986,"[26.93901978362892, 27.041834507130133, 27.105785661705795, 28.97578856259694, 29.316931860703413, 29.347030127899117, 30.02632164192372, 30.220876992756793, 31.378734994347447, 32.60170616350475]
","[12, 11, 29, 19, 7, 13, 26, 6, 21, 9]
","0
","0.8375771045684814
","0
","[1968, 1967, 1985, 1975, 1963, 1969, 1982, 1962, 1977, 1965]
"
1987,"[24.960599647966024, 26.046155322526314, 27.269650547027673, 27.408675647502907, 28.326497883042503, 28.34282956137187, 28.496821836797665, 29.34790887310215, 29.731733267803882, 30.012540194037953]
","[10, 12, 18, 20, 1, 28, 23, 29, 6, 4]
","0
","0.829841136932373
","0
","[1967, 1969, 1975, 1977, 1958, 1985, 1980, 1986, 1963, 1961]
"
1988,"[25.820345870153453, 28.760896182845368, 28.768269374914762, 29.670684906622984, 29.92766146087658, 30.01755193058559, 30.097628800557942, 30.275992317919393, 30.468270229801135, 30.857101827019815]
","[29, 17, 25, 4, 12, 11, 23, 9, 10, 3]
","0
","0.8352880477905273
","0
","[1987, 1975, 1983, 1962, 1970, 1969, 1981, 1967, 1968, 1961]
"
1989,"[32.85727642409593, 33.20687224977367, 34.918596962742576, 34.929484952323236, 35.51238638643502, 35.80073737740325, 36.12189330736076, 37.002109864934184, 37.08412249979439, 37.706674496963224]
","[12, 9, 24, 4, 3, 8, 25, 27, 22, 29]
","0
","0.8663930892944336
","0
","[1971, 1968, 1983, 1963, 1962, 1967, 1984, 1986, 1981, 1988]
"
1990,"[31.299851703116833, 32.06606768423858, 32.59968840990392, 32.920967432315976, 33.40573689048504, 33.84345653171984, 34.335641299067575, 34.34266896091766, 34.46547511958349, 35.12422435839771]
","[9, 25, 28, 13, 7, 15, 23, 27, 5, 0]
","0
","0.8316929340362549
","0
","[1969, 1985, 1988, 1973, 1967, 1975, 1983, 1987, 1965, 1960]
"
